Field1,LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE,X,Y,Date
16,33.717269000000002,-117.695223999999996,NA,5730,7253,7/9/2022 0:00:00,1828,L8,OLI,L,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,7/9/2022
20,33.717269000000002,-117.695223999999996,NA,7040,1973,7/9/2022 0:00:00,1828,L8,OLI,L,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,7/9/2022
29,33.717540000000000,-117.695227000000003,NA,7120,1972,8/2/2022 0:00:00,1828,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695214940000000,33.717535099999999,8/2/2022
32,33.717269000000002,-117.695223999999996,NA,2260,1893,8/3/2022 0:00:00,1823,L8,OLI,L,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,8/3/2022
42,33.717540000000000,-117.695227000000003,NA,2300,1892,8/11/2022 0:00:00,1822,L9,OLI-2,L,NA,NA,NA,D,NA,-117.695214940000000,33.717535099999999,8/11/2022
45,33.717269000000002,-117.695223999999996,NA,7130,1973,8/18/2022 0:00:00,1828,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,8/18/2022
48,33.717269000000002,-117.695223999999996,NA,5820,7243,8/18/2022 0:00:00,1828,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,8/18/2022
60,33.717269000000002,-117.695223999999996,NA,2260,1893,8/27/2022 0:00:00,1822,L9,OLI-2,L,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,8/27/2022
62,33.717540000000000,-117.695227000000003,NA,7070,1972,9/3/2022 0:00:00,1828,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695214940000000,33.717535099999999,9/3/2022
71,33.717540000000000,-117.695227000000003,NA,5760,7242,9/3/2022 0:00:00,1828,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695214940000000,33.717535099999999,9/3/2022
82,33.717269000000002,-117.695223999999996,NA,2220,1893,9/12/2022 0:00:00,1822,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,9/12/2022
86,33.717269000000002,-117.695223999999996,NA,2250,1893,9/28/2022 0:00:00,1822,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,9/28/2022
95,33.717269000000002,-117.695223999999996,NA,5740,7243,10/5/2022 0:00:00,1828,L9,OLI-2,H,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,10/5/2022
113,33.717269000000002,-117.695223999999996,NA,5800,7253,10/29/2022 0:00:00,1828,L8,OLI,M,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,10/29/2022
114,33.717540000000000,-117.695227000000003,NA,5800,7252,10/29/2022 0:00:00,1828,L8,OLI,M,NA,NA,NA,D,NA,-117.695214940000000,33.717535099999999,10/29/2022
123,33.717269000000002,-117.695223999999996,NA,7120,1973,10/29/2022 0:00:00,1829,L8,OLI,M,NA,NA,NA,D,NA,-117.695211939999993,33.717264100000001,10/29/2022
