Field1,LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE,X,Y,Date
844,33.706000000000003,-117.7102,330.1,1,1,10/26/2020 0:00,1827,Terra,MODIS,86,6.03,296.5,34.8,D,0,-117.7101879,33.705995100000003,10/26/2020
845,33.724499999999999,-117.6918,348,1,1,10/26/2020 0:00,1827,Terra,MODIS,93,6.03,297,75.5,D,0,-117.6917879,33.724495099999999,10/26/2020
846,33.726199999999999,-117.7062,347.5,1,1,10/26/2020 0:00,1827,Terra,MODIS,62,6.03,297.4,70.5,D,0,-117.7061879,33.726195099999998,10/26/2020
847,33.723900000000000,-117.6998,362.3,1,1,10/26/2020 0:00,1827,Terra,MODIS,100,6.03,298.1,122.7,D,0,-117.6997879,33.723895100000000,10/26/2020
848,33.734000000000002,-117.6978,360.7,1,1,10/26/2020 0:00,1827,Terra,MODIS,96,6.03,299.1,116.3,D,0,-117.6977879,33.733995100000001,10/26/2020
849,33.709600000000002,-117.6888,357.6,3,2,10/26/2020 0:00,2142,Aqua,MODIS,99,6.03,302.3,357.7,D,0,-117.6887879,33.709595100000001,10/26/2020
850,33.707400000000000,-117.7186,346.3,3,2,10/26/2020 0:00,2142,Aqua,MODIS,94,6.03,300.4,232.4,D,0,-117.7185879,33.707395099999999,10/26/2020
851,33.724200000000003,-117.6918,334.9,3,2,10/26/2020 0:00,2142,Aqua,MODIS,80,6.03,297.5,138.6,D,0,-117.6917879,33.724195100000003,10/26/2020
852,33.709000000000003,-117.6931,359.2,3,2,10/26/2020 0:00,2142,Aqua,MODIS,99,6.03,303.1,376.3,D,0,-117.6930879,33.708995100000003,10/26/2020
853,33.723599999999998,-117.6962,334.6,3,2,10/26/2020 0:00,2142,Aqua,MODIS,62,6.03,297.9,136.6,D,0,-117.6961879,33.723595099999997,10/26/2020
