"","LATITUDE","LONGITUDE","BRIGHTNESS","SCAN","TRACK","ACQ_DATE","ACQ_TIME","SATELLITE","INSTRUMENT","CONFIDENCE","VERSION","BRIGHT_T31","FRP","DAYNIGHT","TYPE","X","Y","Date"
"1",30.340686,-97.619294,NA,4611,3729,"6/21/2022 0:00:00",1703,"L8","OLI","L",NA,NA,NA,"D",NA,-97.61928642,30.34068072,2022-06-21
"2",34.29202,-118.801954,NA,2459,5077,"7/1/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-07-01
"3",34.29175,-118.801948,NA,2459,5078,"7/1/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-07-01
"4",34.291755,-118.801622,NA,2460,5078,"7/1/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-07-01
"5",34.291484,-118.801616,NA,2460,5079,"7/1/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160371,34.2914791,2022-07-01
"6",33.716098,-117.710756,NA,5792,7247,"7/1/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-07-01
"7",33.715828,-117.710754,NA,5792,7248,"7/1/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-07-01
"8",33.716098,-117.710756,NA,7102,1977,"7/1/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-07-01
"9",33.715828,-117.710754,NA,7102,1978,"7/1/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-07-01
"10",34.29202,-118.801954,NA,2349,5087,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-07-09
"11",34.29175,-118.801948,NA,2349,5088,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-07-09
"12",34.291755,-118.801622,NA,2350,5088,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-07-09
"13",33.715826,-117.711078,NA,5681,7258,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-07-09
"14",33.716098,-117.710756,NA,5682,7257,"7/9/2022 0:00:00",1828,"L8","OLI","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-07-09
"15",33.715828,-117.710754,NA,5682,7258,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-07-09
"16",33.717269,-117.695224,NA,5730,7253,"7/9/2022 0:00:00",1828,"L8","OLI","L",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-07-09
"17",33.715826,-117.711078,NA,6991,1978,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-07-09
"18",33.716098,-117.710756,NA,6992,1977,"7/9/2022 0:00:00",1828,"L8","OLI","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-07-09
"19",33.715828,-117.710754,NA,6992,1978,"7/9/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-07-09
"20",33.717269,-117.695224,NA,7040,1973,"7/9/2022 0:00:00",1828,"L8","OLI","L",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-07-09
"21",33.716098,-117.710756,NA,2162,1897,"7/10/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-07-10
"22",33.715828,-117.710754,NA,2162,1898,"7/10/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-07-10
"23",33.716097,-117.71108,NA,2201,1897,"7/26/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-07-26
"24",33.716098,-117.710756,NA,2202,1897,"7/26/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-07-26
"25",33.715828,-117.710754,NA,2202,1898,"7/26/2022 0:00:00",1822,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-07-26
"26",33.71583,-117.71043,NA,7073,1978,"8/2/2022 0:00:00",1828,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71041794,33.7158251,2022-08-02
"27",33.715828,-117.710754,NA,7072,1978,"8/2/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-02
"28",33.715826,-117.711078,NA,7071,1978,"8/2/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-08-02
"29",33.71754,-117.695227,NA,7120,1972,"8/2/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-08-02
"30",33.716098,-117.710756,NA,2212,1897,"8/3/2022 0:00:00",1823,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-03
"31",33.715828,-117.710754,NA,2212,1898,"8/3/2022 0:00:00",1823,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-03
"32",33.717269,-117.695224,NA,2260,1893,"8/3/2022 0:00:00",1823,"L8","OLI","L",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-08-03
"33",30.340686,-97.619294,NA,4611,3729,"8/8/2022 0:00:00",1703,"L8","OLI","H",NA,NA,NA,"D",NA,-97.61928642,30.34068072,2022-08-08
"34",33.716097,-117.71108,NA,5751,7257,"8/10/2022 0:00:00",1828,"L8","OLI","L",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-08-10
"35",33.716098,-117.710756,NA,5752,7257,"8/10/2022 0:00:00",1828,"L8","OLI","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-08-10
"36",33.715828,-117.710754,NA,5752,7258,"8/10/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-08-10
