time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1597989000,36659,0.1699999999999999,2020-08-20 23:50:00-06:00
1597988400,36659,0.177,2020-08-20 23:40:00-06:00
1597987800,36659,0.345,2020-08-20 23:30:00-06:00
1597987200,36659,0.5720000000000001,2020-08-20 23:20:00-06:00
1597986600,36659,0.527,2020-08-20 23:10:00-06:00
1597986000,36659,0.235,2020-08-20 23:00:00-06:00
1597985400,36659,0.131,2020-08-20 22:50:00-06:00
1597984800,36659,0.161,2020-08-20 22:40:00-06:00
1597984200,36659,0.15,2020-08-20 22:30:00-06:00
1597983600,36659,0.059,2020-08-20 22:20:00-06:00
1597983000,36659,0.098,2020-08-20 22:10:00-06:00
1597982400,36659,0.186,2020-08-20 22:00:00-06:00
1597981800,36659,0.0419999999999999,2020-08-20 21:50:00-06:00
1597981200,36659,0.0559999999999999,2020-08-20 21:40:00-06:00
1597980600,36659,0.024,2020-08-20 21:30:00-06:00
1597980000,36659,0.034,2020-08-20 21:20:00-06:00
1597979400,36659,0.036,2020-08-20 21:10:00-06:00
1597978800,36659,0.0829999999999999,2020-08-20 21:00:00-06:00
1597978200,36659,0.079,2020-08-20 20:50:00-06:00
1597977600,36659,5.585000000000001,2020-08-20 20:40:00-06:00
1597977000,36659,3.434,2020-08-20 20:30:00-06:00
1597976400,36659,12.543,2020-08-20 20:20:00-06:00
1597975800,36659,6.395,2020-08-20 20:10:00-06:00
1597975200,36659,0.056,2020-08-20 20:00:00-06:00
1597974600,36659,0.062,2020-08-20 19:50:00-06:00
1597974000,36659,0.068,2020-08-20 19:40:00-06:00
1597973400,36659,0.056,2020-08-20 19:30:00-06:00
1597972800,36659,0.103,2020-08-20 19:20:00-06:00
1597972200,36659,0.219,2020-08-20 19:10:00-06:00
1597971600,36659,0.347,2020-08-20 19:00:00-06:00
1597971000,36659,0.138,2020-08-20 18:50:00-06:00
1597970400,36659,0.188,2020-08-20 18:40:00-06:00
1597969800,36659,0.2279999999999999,2020-08-20 18:30:00-06:00
1597969200,36659,0.199,2020-08-20 18:20:00-06:00
1597968600,36659,0.3359999999999999,2020-08-20 18:10:00-06:00
1597968000,36659,0.4629999999999999,2020-08-20 18:00:00-06:00
1597967400,36659,0.401,2020-08-20 17:50:00-06:00
1597966800,36659,0.363,2020-08-20 17:40:00-06:00
1597966200,36659,0.407,2020-08-20 17:30:00-06:00
1597965600,36659,0.527,2020-08-20 17:20:00-06:00
1597965000,36659,0.315,2020-08-20 17:10:00-06:00
1597964400,36659,0.346,2020-08-20 17:00:00-06:00
1597963800,36659,0.645,2020-08-20 16:50:00-06:00
1597963200,36659,0.362,2020-08-20 16:40:00-06:00
1597962600,36659,0.254,2020-08-20 16:30:00-06:00
1597962000,36659,0.406,2020-08-20 16:20:00-06:00
1597961400,36659,0.237,2020-08-20 16:10:00-06:00
1597960800,36659,0.26,2020-08-20 16:00:00-06:00
1597960200,36659,0.266,2020-08-20 15:50:00-06:00
1597959600,36659,0.278,2020-08-20 15:40:00-06:00
1597959000,36659,0.4679999999999999,2020-08-20 15:30:00-06:00
1597958400,36659,0.453,2020-08-20 15:20:00-06:00
1597957800,36659,0.434,2020-08-20 15:10:00-06:00
1597957200,36659,0.439,2020-08-20 15:00:00-06:00
1597956600,36659,0.447,2020-08-20 14:50:00-06:00
1597956000,36659,0.512,2020-08-20 14:40:00-06:00
1597955400,36659,0.517,2020-08-20 14:30:00-06:00
1597954800,36659,0.349,2020-08-20 14:20:00-06:00
1597954200,36659,0.5469999999999999,2020-08-20 14:10:00-06:00
1597953600,36659,0.358,2020-08-20 14:00:00-06:00
1597953000,36659,0.4559999999999999,2020-08-20 13:50:00-06:00
1597952400,36659,0.5660000000000001,2020-08-20 13:40:00-06:00
1597951800,36659,0.778,2020-08-20 13:30:00-06:00
1597951200,36659,0.629,2020-08-20 13:20:00-06:00
1597950600,36659,0.661,2020-08-20 13:10:00-06:00
1597950000,36659,0.659,2020-08-20 13:00:00-06:00
1597949400,36659,0.628,2020-08-20 12:50:00-06:00
1597948800,36659,0.658,2020-08-20 12:40:00-06:00
1597948200,36659,0.738,2020-08-20 12:30:00-06:00
1597947600,36659,0.911,2020-08-20 12:20:00-06:00
1597947000,36659,0.962,2020-08-20 12:10:00-06:00
1597946400,36659,1.1669999999999998,2020-08-20 12:00:00-06:00
1597945800,36659,1.0510000000000002,2020-08-20 11:50:00-06:00
1597945200,36659,1.015,2020-08-20 11:40:00-06:00
1597944600,36659,1.1549999999999998,2020-08-20 11:30:00-06:00
1597944000,36659,0.853,2020-08-20 11:20:00-06:00
1597943400,36659,1.076,2020-08-20 11:10:00-06:00
1597942800,36659,0.799,2020-08-20 11:00:00-06:00
1597942200,36659,0.879,2020-08-20 10:50:00-06:00
1597941600,36659,0.837,2020-08-20 10:40:00-06:00
1597941000,36659,1.1,2020-08-20 10:30:00-06:00
1597940400,36659,1.089,2020-08-20 10:20:00-06:00
1597939800,36659,0.941,2020-08-20 10:10:00-06:00
1597939200,36659,1.124,2020-08-20 10:00:00-06:00
1597938600,36659,1.567,2020-08-20 09:50:00-06:00
1597938000,36659,1.528,2020-08-20 09:40:00-06:00
1597937400,36659,1.355,2020-08-20 09:30:00-06:00
1597936800,36659,1.186,2020-08-20 09:20:00-06:00
1597936200,36659,1.188,2020-08-20 09:10:00-06:00
1597935600,36659,1.386,2020-08-20 09:00:00-06:00
1597935000,36659,1.088,2020-08-20 08:50:00-06:00
1597934400,36659,1.125,2020-08-20 08:40:00-06:00
1597933800,36659,0.8220000000000001,2020-08-20 08:30:00-06:00
1597933200,36659,0.5589999999999999,2020-08-20 08:20:00-06:00
1597932600,36659,0.401,2020-08-20 08:10:00-06:00
1597932000,36659,0.436,2020-08-20 08:00:00-06:00
1597931400,36659,0.413,2020-08-20 07:50:00-06:00
1597930800,36659,0.583,2020-08-20 07:40:00-06:00
1597930200,36659,0.569,2020-08-20 07:30:00-06:00
1597929600,36659,0.1709999999999999,2020-08-20 07:20:00-06:00
1597929000,36659,0.368,2020-08-20 07:10:00-06:00
1597928400,36659,0.388,2020-08-20 07:00:00-06:00
1597927800,36659,0.2319999999999999,2020-08-20 06:50:00-06:00
1597927200,36659,0.121,2020-08-20 06:40:00-06:00
1597926600,36659,0.32,2020-08-20 06:30:00-06:00
1597926000,36659,0.2289999999999999,2020-08-20 06:20:00-06:00
1597925400,36659,0.236,2020-08-20 06:10:00-06:00
1597924800,36659,0.153,2020-08-20 06:00:00-06:00
1597924200,36659,0.266,2020-08-20 05:50:00-06:00
1597923600,36659,0.1699999999999999,2020-08-20 05:40:00-06:00
1597923000,36659,0.194,2020-08-20 05:30:00-06:00
1597922400,36659,0.09,2020-08-20 05:20:00-06:00
1597921800,36659,0.178,2020-08-20 05:10:00-06:00
1597921200,36659,0.152,2020-08-20 05:00:00-06:00
1597920600,36659,0.158,2020-08-20 04:50:00-06:00
1597920000,36659,0.11,2020-08-20 04:40:00-06:00
1597919400,36659,0.087,2020-08-20 04:30:00-06:00
1597918800,36659,0.049,2020-08-20 04:20:00-06:00
1597918200,36659,0.0829999999999999,2020-08-20 04:10:00-06:00
1597917600,36659,0.0579999999999999,2020-08-20 04:00:00-06:00
1597917000,36659,0.0989999999999999,2020-08-20 03:50:00-06:00
1597916400,36659,0.043,2020-08-20 03:40:00-06:00
1597915800,36659,0.0549999999999999,2020-08-20 03:30:00-06:00
1597915200,36659,0.159,2020-08-20 03:20:00-06:00
1597914600,36659,0.2029999999999999,2020-08-20 03:10:00-06:00
1597914000,36659,0.452,2020-08-20 03:00:00-06:00
1597913400,36659,0.008,2020-08-20 02:50:00-06:00
1597912800,36659,0.012,2020-08-20 02:40:00-06:00
1597912200,36659,0.056,2020-08-20 02:30:00-06:00
1597911600,36659,0.0559999999999999,2020-08-20 02:20:00-06:00
1597911000,36659,0.007,2020-08-20 02:10:00-06:00
1597910400,36659,0.0,2020-08-20 02:00:00-06:00
1597909800,36659,0.076,2020-08-20 01:50:00-06:00
1597909200,36659,0.146,2020-08-20 01:40:00-06:00
1597908600,36659,0.014,2020-08-20 01:30:00-06:00
1597908000,36659,0.0,2020-08-20 01:20:00-06:00
1597907400,36659,0.025,2020-08-20 01:10:00-06:00
1597906800,36659,0.017,2020-08-20 01:00:00-06:00
1597906200,36659,0.0,2020-08-20 00:50:00-06:00
1597905600,36659,0.01,2020-08-20 00:40:00-06:00
1597905000,36659,0.014,2020-08-20 00:30:00-06:00
1597904400,36659,0.026,2020-08-20 00:20:00-06:00
1597903800,36659,0.173,2020-08-20 00:10:00-06:00
1597903200,36659,0.016,2020-08-20 00:00:00-06:00
1597902600,36659,0.246,2020-08-19 23:50:00-06:00
1597902000,36659,0.073,2020-08-19 23:40:00-06:00
1597901400,36659,0.055,2020-08-19 23:30:00-06:00
1597900800,36659,0.556,2020-08-19 23:20:00-06:00
1597900200,36659,1.872,2020-08-19 23:10:00-06:00
1597899600,36659,0.0,2020-08-19 23:00:00-06:00
1597899000,36659,0.01,2020-08-19 22:50:00-06:00
1597898400,36659,0.195,2020-08-19 22:40:00-06:00
1597897800,36659,0.489,2020-08-19 22:30:00-06:00
1597897200,36659,0.789,2020-08-19 22:20:00-06:00
1597896600,36659,0.016,2020-08-19 22:10:00-06:00
1597896000,36659,0.044,2020-08-19 22:00:00-06:00
1597895400,36659,0.024,2020-08-19 21:50:00-06:00
1597894800,36659,0.089,2020-08-19 21:40:00-06:00
1597894200,36659,0.067,2020-08-19 21:30:00-06:00
1597893600,36659,0.044,2020-08-19 21:20:00-06:00
1597893000,36659,0.144,2020-08-19 21:10:00-06:00
1597892400,36659,0.157,2020-08-19 21:00:00-06:00
1597891800,36659,0.092,2020-08-19 20:50:00-06:00
1597891200,36659,0.424,2020-08-19 20:40:00-06:00
1597890600,36659,0.209,2020-08-19 20:30:00-06:00
1597890000,36659,0.247,2020-08-19 20:20:00-06:00
1597889400,36659,0.287,2020-08-19 20:10:00-06:00
1597888800,36659,0.141,2020-08-19 20:00:00-06:00
1597888200,36659,0.354,2020-08-19 19:50:00-06:00
1597887600,36659,1.042,2020-08-19 19:40:00-06:00
1597887000,36659,1.369,2020-08-19 19:30:00-06:00
1597886400,36659,0.69,2020-08-19 19:20:00-06:00
1597885800,36659,0.143,2020-08-19 19:10:00-06:00
1597885200,36659,0.055,2020-08-19 19:00:00-06:00
1597884600,36659,0.061,2020-08-19 18:50:00-06:00
1597884000,36659,0.148,2020-08-19 18:40:00-06:00
1597883400,36659,0.154,2020-08-19 18:30:00-06:00
1597882800,36659,0.211,2020-08-19 18:20:00-06:00
1597882200,36659,0.0979999999999999,2020-08-19 18:10:00-06:00
1597881600,36659,0.1399999999999999,2020-08-19 18:00:00-06:00
1597881000,36659,0.078,2020-08-19 17:50:00-06:00
1597880400,36659,0.108,2020-08-19 17:40:00-06:00
1597879800,36659,0.236,2020-08-19 17:30:00-06:00
1597879200,36659,0.173,2020-08-19 17:20:00-06:00
1597878600,36659,0.444,2020-08-19 17:10:00-06:00
1597878000,36659,0.421,2020-08-19 17:00:00-06:00
1597877400,36659,0.5720000000000001,2020-08-19 16:50:00-06:00
1597876800,36659,0.618,2020-08-19 16:40:00-06:00
1597876200,36659,0.6799999999999999,2020-08-19 16:30:00-06:00
1597875600,36659,0.8300000000000001,2020-08-19 16:20:00-06:00
1597875000,36659,1.045,2020-08-19 16:10:00-06:00
1597874400,36659,1.347,2020-08-19 16:00:00-06:00
1597873800,36659,1.246,2020-08-19 15:50:00-06:00
1597873200,36659,1.001,2020-08-19 15:40:00-06:00
1597872600,36659,1.399,2020-08-19 15:30:00-06:00
1597872000,36659,1.519,2020-08-19 15:20:00-06:00
1597871400,36659,1.444,2020-08-19 15:10:00-06:00
1597870800,36659,1.621,2020-08-19 15:00:00-06:00
1597870200,36659,1.943,2020-08-19 14:50:00-06:00
1597869600,36659,2.092,2020-08-19 14:40:00-06:00
1597869000,36659,2.156,2020-08-19 14:30:00-06:00
1597868400,36659,2.199,2020-08-19 14:20:00-06:00
1597867800,36659,2.326,2020-08-19 14:10:00-06:00
1597867200,36659,2.108,2020-08-19 14:00:00-06:00
1597866600,36659,2.24,2020-08-19 13:50:00-06:00
1597866000,36659,2.221,2020-08-19 13:40:00-06:00
1597865400,36659,1.985,2020-08-19 13:30:00-06:00
1597864800,36659,2.321,2020-08-19 13:20:00-06:00
1597864200,36659,2.281,2020-08-19 13:10:00-06:00
1597863600,36659,2.279,2020-08-19 13:00:00-06:00
1597863000,36659,2.371,2020-08-19 12:50:00-06:00
1597862400,36659,2.7350000000000003,2020-08-19 12:40:00-06:00
1597861800,36659,2.709,2020-08-19 12:30:00-06:00
1597861200,36659,2.809,2020-08-19 12:20:00-06:00
1597860600,36659,2.942,2020-08-19 12:10:00-06:00
1597860000,36659,2.996,2020-08-19 12:00:00-06:00
1597859400,36659,2.002,2020-08-19 11:50:00-06:00
1597858800,36659,2.409,2020-08-19 11:40:00-06:00
1597858200,36659,2.696,2020-08-19 11:30:00-06:00
1597857600,36659,3.212,2020-08-19 11:20:00-06:00
1597857000,36659,3.014,2020-08-19 11:10:00-06:00
1597856400,36659,2.667,2020-08-19 11:00:00-06:00
1597855800,36659,3.408,2020-08-19 10:50:00-06:00
1597855200,36659,4.272,2020-08-19 10:40:00-06:00
1597854600,36659,4.428,2020-08-19 10:30:00-06:00
1597854000,36659,5.281000000000001,2020-08-19 10:20:00-06:00
1597853400,36659,5.912,2020-08-19 10:10:00-06:00
1597852800,36659,6.452999999999999,2020-08-19 10:00:00-06:00
1597852200,36659,6.417,2020-08-19 09:50:00-06:00
1597851600,36659,6.523,2020-08-19 09:40:00-06:00
1597851000,36659,6.846,2020-08-19 09:30:00-06:00
1597850400,36659,6.876,2020-08-19 09:20:00-06:00
1597849800,36659,6.481,2020-08-19 09:10:00-06:00
1597849200,36659,5.477,2020-08-19 09:00:00-06:00
1597848600,36659,5.045,2020-08-19 08:50:00-06:00
1597848000,36659,4.936,2020-08-19 08:40:00-06:00
1597847400,36659,5.593,2020-08-19 08:30:00-06:00
1597846800,36659,5.141,2020-08-19 08:20:00-06:00
1597846200,36659,4.228,2020-08-19 08:10:00-06:00
1597845600,36659,4.024,2020-08-19 08:00:00-06:00
1597845000,36659,3.831,2020-08-19 07:50:00-06:00
1597844400,36659,3.694,2020-08-19 07:40:00-06:00
1597843800,36659,3.4,2020-08-19 07:30:00-06:00
