time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1613371800,12799,2.73,2021-02-14 23:50:00-07:00
1613371200,12799,3.644,2021-02-14 23:40:00-07:00
1613370600,12799,5.569,2021-02-14 23:30:00-07:00
1613370000,12799,6.586,2021-02-14 23:20:00-07:00
1613369400,12799,7.592,2021-02-14 23:10:00-07:00
1613368800,12799,8.7,2021-02-14 23:00:00-07:00
1613368200,12799,6.904999999999999,2021-02-14 22:50:00-07:00
1613367600,12799,6.292,2021-02-14 22:40:00-07:00
1613367000,12799,4.865,2021-02-14 22:30:00-07:00
1613366400,12799,6.815,2021-02-14 22:20:00-07:00
1613365800,12799,3.595,2021-02-14 22:10:00-07:00
1613365200,12799,3.221,2021-02-14 22:00:00-07:00
1613364600,12799,3.277,2021-02-14 21:50:00-07:00
1613364000,12799,4.763,2021-02-14 21:40:00-07:00
1613363400,12799,0.324,2021-02-14 21:30:00-07:00
1613362800,12799,2.899,2021-02-14 21:20:00-07:00
1613362200,12799,0.0,2021-02-14 21:10:00-07:00
1613361600,12799,0.0,2021-02-14 21:00:00-07:00
1613361000,12799,0.065,2021-02-14 20:50:00-07:00
1613360400,12799,0.0,2021-02-14 20:40:00-07:00
1613359800,12799,0.0,2021-02-14 20:30:00-07:00
1613359200,12799,0.025,2021-02-14 20:20:00-07:00
1613358600,12799,0.0,2021-02-14 20:10:00-07:00
1613358000,12799,0.0,2021-02-14 20:00:00-07:00
1613357400,12799,0.0,2021-02-14 19:50:00-07:00
1613356800,12799,0.026,2021-02-14 19:40:00-07:00
1613356200,12799,0.0,2021-02-14 19:30:00-07:00
1613355600,12799,0.0,2021-02-14 19:20:00-07:00
1613355000,12799,0.0,2021-02-14 19:10:00-07:00
1613354400,12799,0.0,2021-02-14 19:00:00-07:00
1613353800,12799,0.0,2021-02-14 18:50:00-07:00
1613353200,12799,0.011,2021-02-14 18:40:00-07:00
1613352600,12799,0.0,2021-02-14 18:30:00-07:00
1613352000,12799,0.0,2021-02-14 18:20:00-07:00
1613351400,12799,0.0,2021-02-14 18:10:00-07:00
1613350800,12799,0.0,2021-02-14 18:00:00-07:00
1613350200,12799,0.014,2021-02-14 17:50:00-07:00
1613349600,12799,0.013,2021-02-14 17:40:00-07:00
1613349000,12799,0.16,2021-02-14 17:30:00-07:00
1613348400,12799,0.5735,2021-02-14 17:20:00-07:00
1613347800,12799,0.9815,2021-02-14 17:10:00-07:00
1613347200,12799,0.027,2021-02-14 17:00:00-07:00
1613346600,12799,0.0,2021-02-14 16:50:00-07:00
1613346000,12799,0.011,2021-02-14 16:40:00-07:00
1613345400,12799,0.006,2021-02-14 16:30:00-07:00
1613344800,12799,0.0,2021-02-14 16:20:00-07:00
1613344200,12799,0.0,2021-02-14 16:10:00-07:00
1613343600,12799,0.0,2021-02-14 16:00:00-07:00
1613343000,12799,0.0,2021-02-14 15:50:00-07:00
1613342400,12799,0.0,2021-02-14 15:40:00-07:00
1613341800,12799,0.024,2021-02-14 15:30:00-07:00
1613341200,12799,0.109,2021-02-14 15:20:00-07:00
1613340600,12799,0.0,2021-02-14 15:10:00-07:00
1613340000,12799,0.0,2021-02-14 15:00:00-07:00
1613339400,12799,0.0,2021-02-14 14:50:00-07:00
1613338800,12799,0.0,2021-02-14 14:40:00-07:00
1613338200,12799,0.0215,2021-02-14 14:30:00-07:00
1613337600,12799,0.0,2021-02-14 14:20:00-07:00
1613337000,12799,0.0,2021-02-14 14:10:00-07:00
1613336400,12799,0.0,2021-02-14 14:00:00-07:00
1613335800,12799,0.0,2021-02-14 13:50:00-07:00
1613335200,12799,0.0,2021-02-14 13:40:00-07:00
1613334600,12799,0.0,2021-02-14 13:30:00-07:00
1613334000,12799,0.0,2021-02-14 13:20:00-07:00
1613333400,12799,0.0,2021-02-14 13:10:00-07:00
1613332800,12799,0.0,2021-02-14 13:00:00-07:00
1613332200,12799,0.0,2021-02-14 12:50:00-07:00
1613331600,12799,0.0,2021-02-14 12:40:00-07:00
1613331000,12799,0.0,2021-02-14 12:30:00-07:00
1613330400,12799,0.0,2021-02-14 12:20:00-07:00
1613329800,12799,0.023,2021-02-14 12:10:00-07:00
1613329200,12799,0.0,2021-02-14 12:00:00-07:00
1613328600,12799,0.0715,2021-02-14 11:50:00-07:00
1613328000,12799,0.0,2021-02-14 11:40:00-07:00
1613327400,12799,0.03,2021-02-14 11:30:00-07:00
1613326800,12799,0.18,2021-02-14 11:20:00-07:00
1613326200,12799,0.018,2021-02-14 11:10:00-07:00
1613325600,12799,0.0,2021-02-14 11:00:00-07:00
1613325000,12799,0.004,2021-02-14 10:50:00-07:00
1613324400,12799,0.0175,2021-02-14 10:40:00-07:00
1613323800,12799,0.0,2021-02-14 10:30:00-07:00
