time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1619848200,91785,1664.687,2021-04-30 23:50:00-06:00
1619847600,91785,1666.62,2021-04-30 23:40:00-06:00
1619847000,91785,1665.22,2021-04-30 23:30:00-06:00
1619846400,91785,1666.1219999999998,2021-04-30 23:20:00-06:00
1619845800,91785,1666.114,2021-04-30 23:10:00-06:00
1619845200,91785,1665.65,2021-04-30 23:00:00-06:00
1619844600,91785,1666.78,2021-04-30 22:50:00-06:00
1619844000,91785,1665.827,2021-04-30 22:40:00-06:00
1619843400,91785,1666.002,2021-04-30 22:30:00-06:00
1619842800,91785,1666.177,2021-04-30 22:20:00-06:00
1619842200,91785,1665.418,2021-04-30 22:10:00-06:00
1619841600,91785,1666.194,2021-04-30 22:00:00-06:00
1619841000,91785,1665.392,2021-04-30 21:50:00-06:00
1619840400,91785,1667.363,2021-04-30 21:40:00-06:00
1619839800,91785,1666.7469999999998,2021-04-30 21:30:00-06:00
1619839200,91785,1665.774,2021-04-30 21:20:00-06:00
1619838600,91785,1666.678,2021-04-30 21:10:00-06:00
1619838000,91785,1666.252,2021-04-30 21:00:00-06:00
1619837400,91785,1664.886,2021-04-30 20:50:00-06:00
1619836800,91785,1665.553,2021-04-30 20:40:00-06:00
1619836200,91785,1664.017,2021-04-30 20:30:00-06:00
1619835600,91785,1657.903,2021-04-30 20:20:00-06:00
1619835000,91785,1652.444,2021-04-30 20:10:00-06:00
1619834400,91785,1647.805,2021-04-30 20:00:00-06:00
1619833800,91785,1638.887,2021-04-30 19:50:00-06:00
1619833200,91785,1630.0,2021-04-30 19:40:00-06:00
1619832600,91785,1623.894,2021-04-30 19:30:00-06:00
1619832000,91785,1616.175,2021-04-30 19:20:00-06:00
1619831400,91785,1612.085,2021-04-30 19:10:00-06:00
1619830800,91785,1606.465,2021-04-30 19:00:00-06:00
1619830200,91785,1605.581,2021-04-30 18:50:00-06:00
1619829600,91785,1601.093,2021-04-30 18:40:00-06:00
1619829000,91785,1600.177,2021-04-30 18:30:00-06:00
1619828400,91785,1597.2099999999998,2021-04-30 18:20:00-06:00
1619827800,91785,1595.044,2021-04-30 18:10:00-06:00
1619827200,91785,1590.49,2021-04-30 18:00:00-06:00
1619826600,91785,1591.365,2021-04-30 17:50:00-06:00
1619826000,91785,1589.539,2021-04-30 17:40:00-06:00
1619825400,91785,1584.033,2021-04-30 17:30:00-06:00
1619824800,91785,1577.596,2021-04-30 17:20:00-06:00
1619824200,91785,1578.836,2021-04-30 17:10:00-06:00
1619823600,91785,1581.753,2021-04-30 17:00:00-06:00
1619823000,91785,1577.292,2021-04-30 16:50:00-06:00
1619822400,91785,1575.211,2021-04-30 16:40:00-06:00
1619821800,91785,1576.384,2021-04-30 16:30:00-06:00
1619821200,91785,1577.318,2021-04-30 16:20:00-06:00
1619820600,91785,1576.157,2021-04-30 16:10:00-06:00
1619820000,91785,1570.772,2021-04-30 16:00:00-06:00
1619819400,91785,1571.222,2021-04-30 15:50:00-06:00
1619818800,91785,1574.136,2021-04-30 15:40:00-06:00
1619818200,91785,1573.224,2021-04-30 15:30:00-06:00
1619817600,91785,1574.563,2021-04-30 15:20:00-06:00
1619817000,91785,1572.405,2021-04-30 15:10:00-06:00
1619816400,91785,1577.043,2021-04-30 15:00:00-06:00
1619815800,91785,1575.9799999999998,2021-04-30 14:50:00-06:00
1619815200,91785,1578.212,2021-04-30 14:40:00-06:00
1619814600,91785,1579.299,2021-04-30 14:30:00-06:00
1619814000,91785,1580.793,2021-04-30 14:20:00-06:00
