time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1623131400,57157,0.979,2021-06-07 23:50:00-06:00
1623130800,57157,1.318,2021-06-07 23:40:00-06:00
1623130200,57157,1.343,2021-06-07 23:30:00-06:00
1623129600,57157,1.448,2021-06-07 23:20:00-06:00
1623129000,57157,1.771,2021-06-07 23:10:00-06:00
1623128400,57157,1.334,2021-06-07 23:00:00-06:00
1623127800,57157,1.302,2021-06-07 22:50:00-06:00
1623127200,57157,1.271,2021-06-07 22:40:00-06:00
1623126600,57157,1.371,2021-06-07 22:30:00-06:00
1623126000,57157,1.541,2021-06-07 22:20:00-06:00
1623125400,57157,1.736,2021-06-07 22:10:00-06:00
1623124800,57157,1.635,2021-06-07 22:00:00-06:00
1623124200,57157,1.593,2021-06-07 21:50:00-06:00
1623123600,57157,1.418,2021-06-07 21:40:00-06:00
1623123000,57157,1.344,2021-06-07 21:30:00-06:00
1623122400,57157,1.24,2021-06-07 21:20:00-06:00
1623121800,57157,1.23,2021-06-07 21:10:00-06:00
1623121200,57157,1.371,2021-06-07 21:00:00-06:00
1623120600,57157,1.143,2021-06-07 20:50:00-06:00
1623120000,57157,1.184,2021-06-07 20:40:00-06:00
1623119400,57157,1.431,2021-06-07 20:30:00-06:00
1623118800,57157,1.352,2021-06-07 20:20:00-06:00
1623118200,57157,1.146,2021-06-07 20:10:00-06:00
1623117600,57157,1.082,2021-06-07 20:00:00-06:00
1623117000,57157,1.414,2021-06-07 19:50:00-06:00
1623116400,57157,1.6720000000000002,2021-06-07 19:40:00-06:00
1623115800,57157,1.789,2021-06-07 19:30:00-06:00
1623115200,57157,1.555,2021-06-07 19:20:00-06:00
1623114600,57157,1.456,2021-06-07 19:10:00-06:00
1623114000,57157,2.736,2021-06-07 19:00:00-06:00
1623113400,57157,1.764,2021-06-07 18:50:00-06:00
1623112800,57157,1.5590000000000002,2021-06-07 18:40:00-06:00
1623112200,57157,1.503,2021-06-07 18:30:00-06:00
1623111600,57157,1.397,2021-06-07 18:20:00-06:00
1623111000,57157,1.615,2021-06-07 18:10:00-06:00
1623110400,57157,1.165,2021-06-07 18:00:00-06:00
1623109800,57157,0.766,2021-06-07 17:50:00-06:00
1623109200,57157,0.863,2021-06-07 17:40:00-06:00
1623108600,57157,0.917,2021-06-07 17:30:00-06:00
1623108000,57157,0.8180000000000001,2021-06-07 17:20:00-06:00
1623107400,57157,1.197,2021-06-07 17:10:00-06:00
1623106800,57157,1.649,2021-06-07 17:00:00-06:00
1623106200,57157,1.255,2021-06-07 16:50:00-06:00
1623105600,57157,1.732,2021-06-07 16:40:00-06:00
1623105000,57157,1.779,2021-06-07 16:30:00-06:00
1623104400,57157,1.358,2021-06-07 16:20:00-06:00
1623103800,57157,1.583,2021-06-07 16:10:00-06:00
1623103200,57157,1.4460000000000002,2021-06-07 16:00:00-06:00
1623102600,57157,1.52,2021-06-07 15:50:00-06:00
1623102000,57157,1.419,2021-06-07 15:40:00-06:00
1623101400,57157,2.3390000000000004,2021-06-07 15:30:00-06:00
1623100800,57157,1.726,2021-06-07 15:20:00-06:00
1623100200,57157,1.299,2021-06-07 15:10:00-06:00
1623099600,57157,1.594,2021-06-07 15:00:00-06:00
1623099000,57157,1.618,2021-06-07 14:50:00-06:00
1623098400,57157,1.416,2021-06-07 14:40:00-06:00
1623097800,57157,1.322,2021-06-07 14:30:00-06:00
1623097200,57157,1.665,2021-06-07 14:20:00-06:00
1623096600,57157,1.6909999999999998,2021-06-07 14:10:00-06:00
1623096000,57157,2.266,2021-06-07 14:00:00-06:00
1623095400,57157,1.872,2021-06-07 13:50:00-06:00
1623094800,57157,2.0620000000000003,2021-06-07 13:40:00-06:00
1623094200,57157,1.553,2021-06-07 13:30:00-06:00
1623093600,57157,1.432,2021-06-07 13:20:00-06:00
1623093000,57157,1.919,2021-06-07 13:10:00-06:00
1623092400,57157,1.537,2021-06-07 13:00:00-06:00
1623091800,57157,1.692,2021-06-07 12:50:00-06:00
1623091200,57157,1.647,2021-06-07 12:40:00-06:00
1623090600,57157,1.859,2021-06-07 12:30:00-06:00
1623090000,57157,1.303,2021-06-07 12:20:00-06:00
1623089400,57157,1.86,2021-06-07 12:10:00-06:00
1623088800,57157,1.455,2021-06-07 12:00:00-06:00
1623088200,57157,1.614,2021-06-07 11:50:00-06:00
1623087600,57157,1.877,2021-06-07 11:40:00-06:00
1623087000,57157,1.811,2021-06-07 11:30:00-06:00
1623086400,57157,1.729,2021-06-07 11:20:00-06:00
1623085800,57157,1.42,2021-06-07 11:10:00-06:00
1623085200,57157,1.392,2021-06-07 11:00:00-06:00
1623084600,57157,1.573,2021-06-07 10:50:00-06:00
1623084000,57157,2.44,2021-06-07 10:40:00-06:00
1623083400,57157,7.166,2021-06-07 10:30:00-06:00
1623082800,57157,6.014,2021-06-07 10:20:00-06:00
1623082200,57157,6.071999999999999,2021-06-07 10:10:00-06:00
1623081600,57157,3.005,2021-06-07 10:00:00-06:00
1623081000,57157,3.072,2021-06-07 09:50:00-06:00
1623080400,57157,1.724,2021-06-07 09:40:00-06:00
1623079800,57157,2.003,2021-06-07 09:30:00-06:00
1623079200,57157,1.769,2021-06-07 09:20:00-06:00
1623078600,57157,2.014,2021-06-07 09:10:00-06:00
1623078000,57157,2.128,2021-06-07 09:00:00-06:00
1623077400,57157,2.316,2021-06-07 08:50:00-06:00
1623076800,57157,2.721,2021-06-07 08:40:00-06:00
1623076200,57157,2.631,2021-06-07 08:30:00-06:00
1623075600,57157,2.937,2021-06-07 08:20:00-06:00
1623075000,57157,3.254,2021-06-07 08:10:00-06:00
1623074400,57157,4.286,2021-06-07 08:00:00-06:00
1623073800,57157,5.041,2021-06-07 07:50:00-06:00
1623073200,57157,6.44,2021-06-07 07:40:00-06:00
1623072600,57157,13.409,2021-06-07 07:30:00-06:00
1623072000,57157,18.872,2021-06-07 07:20:00-06:00
1623071400,57157,16.858,2021-06-07 07:10:00-06:00
1623070800,57157,10.308,2021-06-07 07:00:00-06:00
1623070200,57157,7.095000000000001,2021-06-07 06:50:00-06:00
1623069600,57157,4.604,2021-06-07 06:40:00-06:00
1623069000,57157,3.882,2021-06-07 06:30:00-06:00
1623068400,57157,3.337,2021-06-07 06:20:00-06:00
1623067800,57157,2.768,2021-06-07 06:10:00-06:00
1623067200,57157,2.72,2021-06-07 06:00:00-06:00
1623066600,57157,2.127,2021-06-07 05:50:00-06:00
1623066000,57157,1.704,2021-06-07 05:40:00-06:00
1623065400,57157,1.5779999999999998,2021-06-07 05:30:00-06:00
1623064800,57157,1.712,2021-06-07 05:20:00-06:00
1623064200,57157,1.554,2021-06-07 05:10:00-06:00
1623063600,57157,1.626,2021-06-07 05:00:00-06:00
1623063000,57157,1.675,2021-06-07 04:50:00-06:00
1623062400,57157,1.741,2021-06-07 04:40:00-06:00
1623061800,57157,1.876,2021-06-07 04:30:00-06:00
1623061200,57157,2.255,2021-06-07 04:20:00-06:00
1623060600,57157,2.358,2021-06-07 04:10:00-06:00
1623060000,57157,2.354,2021-06-07 04:00:00-06:00
1623059400,57157,3.035,2021-06-07 03:50:00-06:00
1623058800,57157,2.732,2021-06-07 03:40:00-06:00
1623058200,57157,2.767,2021-06-07 03:30:00-06:00
1623057600,57157,2.348,2021-06-07 03:20:00-06:00
1623057000,57157,2.023,2021-06-07 03:10:00-06:00
1623056400,57157,1.973,2021-06-07 03:00:00-06:00
1623055800,57157,1.7999999999999998,2021-06-07 02:50:00-06:00
1623055200,57157,1.243,2021-06-07 02:40:00-06:00
1623054600,57157,1.163,2021-06-07 02:30:00-06:00
1623054000,57157,1.1269999999999998,2021-06-07 02:20:00-06:00
1623053400,57157,0.926,2021-06-07 02:10:00-06:00
1623052800,57157,1.045,2021-06-07 02:00:00-06:00
1623052200,57157,1.209,2021-06-07 01:50:00-06:00
1623051600,57157,1.272,2021-06-07 01:40:00-06:00
1623051000,57157,0.871,2021-06-07 01:30:00-06:00
1623050400,57157,0.8160000000000001,2021-06-07 01:20:00-06:00
1623049800,57157,1.012,2021-06-07 01:10:00-06:00
1623049200,57157,1.028,2021-06-07 01:00:00-06:00
1623048600,57157,0.974,2021-06-07 00:50:00-06:00
1623048000,57157,0.904,2021-06-07 00:40:00-06:00
1623047400,57157,0.984,2021-06-07 00:30:00-06:00
1623046800,57157,0.5680000000000001,2021-06-07 00:20:00-06:00
1623046200,57157,0.661,2021-06-07 00:10:00-06:00
1623045600,57157,0.7030000000000001,2021-06-07 00:00:00-06:00
1623045000,57157,0.922,2021-06-06 23:50:00-06:00
1623044400,57157,0.764,2021-06-06 23:40:00-06:00
1623043800,57157,0.947,2021-06-06 23:30:00-06:00
1623043200,57157,0.845,2021-06-06 23:20:00-06:00
1623042600,57157,0.903,2021-06-06 23:10:00-06:00
1623042000,57157,1.027,2021-06-06 23:00:00-06:00
1623041400,57157,1.266,2021-06-06 22:50:00-06:00
1623040800,57157,0.48,2021-06-06 22:40:00-06:00
1623040200,57157,0.445,2021-06-06 22:30:00-06:00
1623039600,57157,0.376,2021-06-06 22:20:00-06:00
1623039000,57157,0.562,2021-06-06 22:10:00-06:00
1623038400,57157,0.4669999999999999,2021-06-06 22:00:00-06:00
1623037800,57157,0.288,2021-06-06 21:50:00-06:00
1623037200,57157,0.368,2021-06-06 21:40:00-06:00
1623036600,57157,0.413,2021-06-06 21:30:00-06:00
1623036000,57157,0.549,2021-06-06 21:20:00-06:00
1623035400,57157,0.5760000000000001,2021-06-06 21:10:00-06:00
1623034800,57157,0.5680000000000001,2021-06-06 21:00:00-06:00
1623034200,57157,0.6619999999999999,2021-06-06 20:50:00-06:00
1623033600,57157,0.659,2021-06-06 20:40:00-06:00
1623033000,57157,0.493,2021-06-06 20:30:00-06:00
1623032400,57157,0.636,2021-06-06 20:20:00-06:00
1623031800,57157,0.592,2021-06-06 20:10:00-06:00
1623031200,57157,0.708,2021-06-06 20:00:00-06:00
1623030600,57157,0.821,2021-06-06 19:50:00-06:00
1623030000,57157,1.187,2021-06-06 19:40:00-06:00
1623029400,57157,0.959,2021-06-06 19:30:00-06:00
1623028800,57157,1.061,2021-06-06 19:20:00-06:00
1623028200,57157,0.906,2021-06-06 19:10:00-06:00
1623027600,57157,1.212,2021-06-06 19:00:00-06:00
1623027000,57157,1.16,2021-06-06 18:50:00-06:00
1623026400,57157,1.343,2021-06-06 18:40:00-06:00
1623025800,57157,1.369,2021-06-06 18:30:00-06:00
1623025200,57157,1.2040000000000002,2021-06-06 18:20:00-06:00
1623024600,57157,1.3050000000000002,2021-06-06 18:10:00-06:00
1623024000,57157,1.508,2021-06-06 18:00:00-06:00
1623023400,57157,1.855,2021-06-06 17:50:00-06:00
1623022800,57157,2.181,2021-06-06 17:40:00-06:00
1623022200,57157,2.184,2021-06-06 17:30:00-06:00
1623021600,57157,2.042,2021-06-06 17:20:00-06:00
1623021000,57157,2.474,2021-06-06 17:10:00-06:00
1623020400,57157,1.911,2021-06-06 17:00:00-06:00
1623019800,57157,2.138,2021-06-06 16:50:00-06:00
1623019200,57157,2.486,2021-06-06 16:40:00-06:00
1623018600,57157,2.329,2021-06-06 16:30:00-06:00
1623018000,57157,2.388,2021-06-06 16:20:00-06:00
1623017400,57157,2.682,2021-06-06 16:10:00-06:00
1623016800,57157,2.91,2021-06-06 16:00:00-06:00
1623016200,57157,2.8920000000000003,2021-06-06 15:50:00-06:00
1623015600,57157,3.106,2021-06-06 15:40:00-06:00
1623015000,57157,3.209,2021-06-06 15:30:00-06:00
1623014400,57157,3.2880000000000003,2021-06-06 15:20:00-06:00
1623013800,57157,3.5460000000000003,2021-06-06 15:10:00-06:00
1623013200,57157,3.525,2021-06-06 15:00:00-06:00
1623012600,57157,4.053,2021-06-06 14:50:00-06:00
1623012000,57157,3.782,2021-06-06 14:40:00-06:00
1623011400,57157,3.611,2021-06-06 14:30:00-06:00
1623010800,57157,3.679,2021-06-06 14:20:00-06:00
1623010200,57157,3.721,2021-06-06 14:10:00-06:00
1623009600,57157,4.029,2021-06-06 14:00:00-06:00
1623009000,57157,3.314,2021-06-06 13:50:00-06:00
1623008400,57157,3.469,2021-06-06 13:40:00-06:00
1623007800,57157,3.278,2021-06-06 13:30:00-06:00
1623007200,57157,3.268,2021-06-06 13:20:00-06:00
