time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1633153800,52019,8.082,2021-10-01 23:50:00-06:00
1633153200,52019,8.106,2021-10-01 23:40:00-06:00
1633152600,52019,8.025,2021-10-01 23:30:00-06:00
1633152000,52019,9.172,2021-10-01 23:20:00-06:00
1633151400,52019,9.516,2021-10-01 23:10:00-06:00
1633150800,52019,10.184,2021-10-01 23:00:00-06:00
1633150200,52019,10.258,2021-10-01 22:50:00-06:00
1633149600,52019,10.345,2021-10-01 22:40:00-06:00
1633149000,52019,8.163,2021-10-01 22:30:00-06:00
1633148400,52019,7.776999999999999,2021-10-01 22:20:00-06:00
1633147800,52019,7.775,2021-10-01 22:10:00-06:00
1633147200,52019,7.529,2021-10-01 22:00:00-06:00
1633146600,52019,8.335,2021-10-01 21:50:00-06:00
1633146000,52019,7.755,2021-10-01 21:40:00-06:00
1633145400,52019,7.647,2021-10-01 21:30:00-06:00
1633144800,52019,8.236,2021-10-01 21:20:00-06:00
1633144200,52019,8.389,2021-10-01 21:10:00-06:00
1633143600,52019,8.41,2021-10-01 21:00:00-06:00
1633143000,52019,8.317,2021-10-01 20:50:00-06:00
1633142400,52019,8.029,2021-10-01 20:40:00-06:00
1633141800,52019,7.757,2021-10-01 20:30:00-06:00
1633141200,52019,7.579000000000001,2021-10-01 20:20:00-06:00
1633140600,52019,7.287,2021-10-01 20:10:00-06:00
1633140000,52019,7.135999999999999,2021-10-01 20:00:00-06:00
1633139400,52019,7.109,2021-10-01 19:50:00-06:00
1633138800,52019,7.328,2021-10-01 19:40:00-06:00
1633138200,52019,7.129,2021-10-01 19:30:00-06:00
1633137600,52019,6.522,2021-10-01 19:20:00-06:00
1633137000,52019,6.449999999999999,2021-10-01 19:10:00-06:00
1633136400,52019,6.132,2021-10-01 19:00:00-06:00
1633135800,52019,5.832000000000001,2021-10-01 18:50:00-06:00
1633135200,52019,6.231999999999999,2021-10-01 18:40:00-06:00
1633134600,52019,6.2620000000000005,2021-10-01 18:30:00-06:00
1633134000,52019,6.327,2021-10-01 18:20:00-06:00
1633133400,52019,6.405,2021-10-01 18:10:00-06:00
1633132800,52019,6.252000000000001,2021-10-01 18:00:00-06:00
1633132200,52019,6.164,2021-10-01 17:50:00-06:00
1633131600,52019,5.947,2021-10-01 17:40:00-06:00
1633131000,52019,6.247,2021-10-01 17:30:00-06:00
1633130400,52019,6.098000000000001,2021-10-01 17:20:00-06:00
1633129800,52019,6.559,2021-10-01 17:10:00-06:00
1633129200,52019,5.671,2021-10-01 17:00:00-06:00
1633128600,52019,5.57,2021-10-01 16:50:00-06:00
1633128000,52019,5.41,2021-10-01 16:40:00-06:00
1633127400,52019,5.737,2021-10-01 16:30:00-06:00
1633126800,52019,5.635999999999999,2021-10-01 16:20:00-06:00
1633126200,52019,5.923,2021-10-01 16:10:00-06:00
1633125600,52019,5.99,2021-10-01 16:00:00-06:00
1633125000,52019,7.415,2021-10-01 15:50:00-06:00
1633124400,52019,7.1770000000000005,2021-10-01 15:40:00-06:00
1633123800,52019,7.455999999999999,2021-10-01 15:30:00-06:00
1633123200,52019,6.774,2021-10-01 15:20:00-06:00
1633122600,52019,6.0,2021-10-01 15:10:00-06:00
1633122000,52019,5.491,2021-10-01 15:00:00-06:00
1633121400,52019,5.696,2021-10-01 14:50:00-06:00
1633120800,52019,5.508,2021-10-01 14:40:00-06:00
1633120200,52019,4.208,2021-10-01 14:30:00-06:00
1633119600,52019,3.744,2021-10-01 14:20:00-06:00
1633119000,52019,5.175000000000001,2021-10-01 14:10:00-06:00
1633118400,52019,4.587,2021-10-01 14:00:00-06:00
1633117800,52019,4.174,2021-10-01 13:50:00-06:00
1633117200,52019,2.108,2021-10-01 13:40:00-06:00
1633116600,52019,0.508,2021-10-01 13:30:00-06:00
1633116000,52019,0.144,2021-10-01 13:20:00-06:00
1633115400,52019,0.582,2021-10-01 13:10:00-06:00
1633114800,52019,0.56,2021-10-01 13:00:00-06:00
1633114200,52019,0.557,2021-10-01 12:50:00-06:00
1633113600,52019,0.447,2021-10-01 12:40:00-06:00
1633113000,52019,0.329,2021-10-01 12:30:00-06:00
1633112400,52019,0.273,2021-10-01 12:20:00-06:00
1633111800,52019,0.309,2021-10-01 12:10:00-06:00
1633111200,52019,0.245,2021-10-01 12:00:00-06:00
1633110600,52019,0.302,2021-10-01 11:50:00-06:00
1633110000,52019,0.365,2021-10-01 11:40:00-06:00
1633109400,52019,0.362,2021-10-01 11:30:00-06:00
1633108800,52019,0.799,2021-10-01 11:20:00-06:00
1633108200,52019,0.8260000000000001,2021-10-01 11:10:00-06:00
1633107600,52019,1.781,2021-10-01 11:00:00-06:00
1633107000,52019,2.8280000000000003,2021-10-01 10:50:00-06:00
1633106400,52019,3.982,2021-10-01 10:40:00-06:00
1633105800,52019,4.941000000000001,2021-10-01 10:30:00-06:00
1633105200,52019,8.423,2021-10-01 10:20:00-06:00
1633104600,52019,9.008,2021-10-01 10:10:00-06:00
