time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1637563800,2938,0.596,2021-11-21 23:50:00-07:00
1637563200,2938,0.624,2021-11-21 23:40:00-07:00
1637562600,2938,0.609,2021-11-21 23:30:00-07:00
1637562000,2938,0.977,2021-11-21 23:20:00-07:00
1637561400,2938,1.409,2021-11-21 23:10:00-07:00
1637560800,2938,1.434,2021-11-21 23:00:00-07:00
1637560200,2938,1.796,2021-11-21 22:50:00-07:00
1637559600,2938,3.3,2021-11-21 22:40:00-07:00
1637559000,2938,1.62,2021-11-21 22:30:00-07:00
1637558400,2938,0.16,2021-11-21 22:20:00-07:00
1637557800,2938,0.277,2021-11-21 22:10:00-07:00
1637557200,2938,0.3,2021-11-21 22:00:00-07:00
1637556600,2938,1.274,2021-11-21 21:50:00-07:00
1637556000,2938,1.178,2021-11-21 21:40:00-07:00
1637555400,2938,0.996,2021-11-21 21:30:00-07:00
1637554800,2938,0.384,2021-11-21 21:20:00-07:00
1637554200,2938,0.284,2021-11-21 21:10:00-07:00
1637553600,2938,0.2289999999999999,2021-11-21 21:00:00-07:00
1637553000,2938,0.352,2021-11-21 20:50:00-07:00
1637552400,2938,0.391,2021-11-21 20:40:00-07:00
1637551800,2938,0.4539999999999999,2021-11-21 20:30:00-07:00
1637551200,2938,0.504,2021-11-21 20:20:00-07:00
1637550600,2938,0.996,2021-11-21 20:10:00-07:00
1637550000,2938,1.2160000000000002,2021-11-21 20:00:00-07:00
1637549400,2938,0.178,2021-11-21 19:50:00-07:00
1637548800,2938,0.29,2021-11-21 19:40:00-07:00
1637548200,2938,0.308,2021-11-21 19:30:00-07:00
1637547600,2938,0.219,2021-11-21 19:20:00-07:00
1637547000,2938,0.385,2021-11-21 19:10:00-07:00
1637546400,2938,0.26,2021-11-21 19:00:00-07:00
1637545800,2938,0.408,2021-11-21 18:50:00-07:00
1637545200,2938,0.6910000000000001,2021-11-21 18:40:00-07:00
1637544600,2938,1.5,2021-11-21 18:30:00-07:00
1637544000,2938,0.594,2021-11-21 18:20:00-07:00
1637543400,2938,0.851,2021-11-21 18:10:00-07:00
1637542800,2938,0.608,2021-11-21 18:00:00-07:00
1637542200,2938,0.5700000000000001,2021-11-21 17:50:00-07:00
1637541600,2938,0.7230000000000001,2021-11-21 17:40:00-07:00
1637541000,2938,1.29,2021-11-21 17:30:00-07:00
1637540400,2938,1.5590000000000002,2021-11-21 17:20:00-07:00
1637539800,2938,0.852,2021-11-21 17:10:00-07:00
1637539200,2938,1.022,2021-11-21 17:00:00-07:00
1637538600,2938,0.895,2021-11-21 16:50:00-07:00
1637538000,2938,1.437,2021-11-21 16:40:00-07:00
1637537400,2938,0.653,2021-11-21 16:30:00-07:00
1637536800,2938,0.757,2021-11-21 16:20:00-07:00
1637536200,2938,0.613,2021-11-21 16:10:00-07:00
1637535600,2938,0.742,2021-11-21 16:00:00-07:00
1637535000,2938,0.6859999999999999,2021-11-21 15:50:00-07:00
1637534400,2938,1.589,2021-11-21 15:40:00-07:00
1637533800,2938,8.195,2021-11-21 15:30:00-07:00
1637533200,2938,1.838,2021-11-21 15:20:00-07:00
1637532600,2938,0.827,2021-11-21 15:10:00-07:00
1637532000,2938,1.394,2021-11-21 15:00:00-07:00
1637531400,2938,1.5779999999999998,2021-11-21 14:50:00-07:00
1637530800,2938,1.673,2021-11-21 14:40:00-07:00
1637530200,2938,1.841,2021-11-21 14:30:00-07:00
1637529600,2938,1.929,2021-11-21 14:20:00-07:00
1637529000,2938,1.993,2021-11-21 14:10:00-07:00
1637528400,2938,1.946,2021-11-21 14:00:00-07:00
1637527800,2938,1.749,2021-11-21 13:50:00-07:00
1637527200,2938,1.694,2021-11-21 13:40:00-07:00
1637526600,2938,1.715,2021-11-21 13:30:00-07:00
1637526000,2938,2.177,2021-11-21 13:20:00-07:00
1637525400,2938,1.46,2021-11-21 13:10:00-07:00
1637524800,2938,1.5375,2021-11-21 13:00:00-07:00
1637524200,2938,1.343,2021-11-21 12:50:00-07:00
1637523600,2938,1.408,2021-11-21 12:40:00-07:00
1637523000,2938,1.259,2021-11-21 12:30:00-07:00
1637522400,2938,1.388,2021-11-21 12:20:00-07:00
1637521800,2938,1.478,2021-11-21 12:10:00-07:00
1637521200,2938,1.419,2021-11-21 12:00:00-07:00
1637520600,2938,1.824,2021-11-21 11:50:00-07:00
1637520000,2938,2.049,2021-11-21 11:40:00-07:00
1637519400,2938,2.2190000000000003,2021-11-21 11:30:00-07:00
1637518800,2938,2.281,2021-11-21 11:20:00-07:00
1637518200,2938,2.178,2021-11-21 11:10:00-07:00
1637517600,2938,2.3360000000000003,2021-11-21 11:00:00-07:00
1637517000,2938,2.121,2021-11-21 10:50:00-07:00
1637516400,2938,2.418,2021-11-21 10:40:00-07:00
1637515800,2938,2.28,2021-11-21 10:30:00-07:00
1637515200,2938,2.737,2021-11-21 10:20:00-07:00
1637514600,2938,4.622,2021-11-21 10:10:00-07:00
1637514000,2938,4.992,2021-11-21 10:00:00-07:00
1637513400,2938,4.828,2021-11-21 09:50:00-07:00
1637512800,2938,5.818,2021-11-21 09:40:00-07:00
1637512200,2938,6.582,2021-11-21 09:30:00-07:00
1637511600,2938,4.691,2021-11-21 09:20:00-07:00
1637511000,2938,2.685,2021-11-21 09:10:00-07:00
1637510400,2938,2.462,2021-11-21 09:00:00-07:00
1637509800,2938,2.144,2021-11-21 08:50:00-07:00
1637509200,2938,2.335,2021-11-21 08:40:00-07:00
1637508600,2938,2.458,2021-11-21 08:30:00-07:00
1637508000,2938,2.6020000000000003,2021-11-21 08:20:00-07:00
1637507400,2938,3.117,2021-11-21 08:10:00-07:00
1637506800,2938,3.608,2021-11-21 08:00:00-07:00
1637506200,2938,3.263,2021-11-21 07:50:00-07:00
1637505600,2938,3.109,2021-11-21 07:40:00-07:00
1637505000,2938,3.727,2021-11-21 07:30:00-07:00
1637504400,2938,3.761,2021-11-21 07:20:00-07:00
1637503800,2938,4.096,2021-11-21 07:10:00-07:00
1637503200,2938,3.971,2021-11-21 07:00:00-07:00
1637502600,2938,3.889,2021-11-21 06:50:00-07:00
