time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1661493000,55967,4.853999999999999,2022-08-25 23:50:00-06:00
1661492400,55967,4.683999999999999,2022-08-25 23:40:00-06:00
1661491800,55967,4.598000000000001,2022-08-25 23:30:00-06:00
1661491200,55967,4.509,2022-08-25 23:20:00-06:00
1661490600,55967,4.368,2022-08-25 23:10:00-06:00
1661490000,55967,4.911,2022-08-25 23:00:00-06:00
1661489400,55967,4.923,2022-08-25 22:50:00-06:00
1661488800,55967,4.124,2022-08-25 22:40:00-06:00
1661488200,55967,4.177,2022-08-25 22:30:00-06:00
1661487600,55967,3.857,2022-08-25 22:20:00-06:00
1661487000,55967,3.919,2022-08-25 22:10:00-06:00
1661486400,55967,4.017,2022-08-25 22:00:00-06:00
1661485800,55967,3.724,2022-08-25 21:50:00-06:00
1661485200,55967,3.899,2022-08-25 21:40:00-06:00
1661484600,55967,3.679,2022-08-25 21:30:00-06:00
1661484000,55967,3.7,2022-08-25 21:20:00-06:00
1661483400,55967,3.512,2022-08-25 21:10:00-06:00
1661482800,55967,3.338,2022-08-25 21:00:00-06:00
1661482200,55967,3.421,2022-08-25 20:50:00-06:00
1661481600,55967,3.34,2022-08-25 20:40:00-06:00
1661481000,55967,3.474,2022-08-25 20:30:00-06:00
1661480400,55967,3.375,2022-08-25 20:20:00-06:00
1661479800,55967,4.067,2022-08-25 20:10:00-06:00
1661479200,55967,3.871,2022-08-25 20:00:00-06:00
1661478600,55967,3.844,2022-08-25 19:50:00-06:00
1661478000,55967,3.992,2022-08-25 19:40:00-06:00
1661477400,55967,3.922,2022-08-25 19:30:00-06:00
1661476800,55967,4.259,2022-08-25 19:20:00-06:00
1661476200,55967,4.167,2022-08-25 19:10:00-06:00
1661475600,55967,3.888,2022-08-25 19:00:00-06:00
1661475000,55967,3.905,2022-08-25 18:50:00-06:00
1661474400,55967,4.261,2022-08-25 18:40:00-06:00
1661473800,55967,4.331,2022-08-25 18:30:00-06:00
1661473200,55967,3.74,2022-08-25 18:20:00-06:00
1661472600,55967,3.899,2022-08-25 18:10:00-06:00
1661472000,55967,4.029,2022-08-25 18:00:00-06:00
1661471400,55967,4.019,2022-08-25 17:50:00-06:00
1661470800,55967,3.877,2022-08-25 17:40:00-06:00
1661470200,55967,3.715,2022-08-25 17:30:00-06:00
1661469600,55967,3.711,2022-08-25 17:20:00-06:00
1661469000,55967,3.561,2022-08-25 17:10:00-06:00
1661468400,55967,3.452,2022-08-25 17:00:00-06:00
1661467800,55967,4.204,2022-08-25 16:50:00-06:00
1661467200,55967,4.133,2022-08-25 16:40:00-06:00
1661466600,55967,4.013,2022-08-25 16:30:00-06:00
1661466000,55967,3.308,2022-08-25 16:20:00-06:00
1661465400,55967,3.299,2022-08-25 16:10:00-06:00
1661464800,55967,3.388,2022-08-25 16:00:00-06:00
1661464200,55967,3.512,2022-08-25 15:50:00-06:00
1661463600,55967,3.642,2022-08-25 15:40:00-06:00
1661463000,55967,4.292,2022-08-25 15:30:00-06:00
1661462400,55967,3.669,2022-08-25 15:20:00-06:00
1661461800,55967,4.14,2022-08-25 15:10:00-06:00
1661461200,55967,4.5,2022-08-25 15:00:00-06:00
1661460600,55967,4.94,2022-08-25 14:50:00-06:00
1661460000,55967,5.195,2022-08-25 14:40:00-06:00
1661459400,55967,5.395,2022-08-25 14:30:00-06:00
1661458800,55967,5.484,2022-08-25 14:20:00-06:00
1661458200,55967,5.68,2022-08-25 14:10:00-06:00
1661457600,55967,5.753,2022-08-25 14:00:00-06:00
1661457000,55967,5.32,2022-08-25 13:50:00-06:00
