time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1669531800,31619,31.76,2022-11-26 23:50:00-07:00
1669531200,31619,31.994,2022-11-26 23:40:00-07:00
1669530600,31619,33.426,2022-11-26 23:30:00-07:00
1669530000,31619,33.756,2022-11-26 23:20:00-07:00
1669529400,31619,35.014,2022-11-26 23:10:00-07:00
1669528800,31619,36.010000000000005,2022-11-26 23:00:00-07:00
1669528200,31619,36.935,2022-11-26 22:50:00-07:00
1669527600,31619,37.201,2022-11-26 22:40:00-07:00
1669527000,31619,38.077,2022-11-26 22:30:00-07:00
1669526400,31619,38.938,2022-11-26 22:20:00-07:00
1669525800,31619,39.628,2022-11-26 22:10:00-07:00
1669525200,31619,40.168,2022-11-26 22:00:00-07:00
1669524600,31619,40.061,2022-11-26 21:50:00-07:00
1669524000,31619,40.481,2022-11-26 21:40:00-07:00
1669523400,31619,39.391000000000005,2022-11-26 21:30:00-07:00
1669522800,31619,37.395,2022-11-26 21:20:00-07:00
1669522200,31619,37.959,2022-11-26 21:10:00-07:00
1669521600,31619,36.81699999999999,2022-11-26 21:00:00-07:00
1669521000,31619,35.578,2022-11-26 20:50:00-07:00
1669520400,31619,34.431,2022-11-26 20:40:00-07:00
1669519800,31619,34.071,2022-11-26 20:30:00-07:00
1669519200,31619,33.347,2022-11-26 20:20:00-07:00
1669518600,31619,31.738,2022-11-26 20:10:00-07:00
1669518000,31619,33.405,2022-11-26 20:00:00-07:00
1669517400,31619,33.196,2022-11-26 19:50:00-07:00
1669516800,31619,32.111000000000004,2022-11-26 19:40:00-07:00
1669516200,31619,30.507,2022-11-26 19:30:00-07:00
1669515600,31619,30.352,2022-11-26 19:20:00-07:00
1669515000,31619,30.156,2022-11-26 19:10:00-07:00
1669514400,31619,29.488,2022-11-26 19:00:00-07:00
1669513800,31619,29.939,2022-11-26 18:50:00-07:00
1669513200,31619,30.041,2022-11-26 18:40:00-07:00
1669512600,31619,29.165,2022-11-26 18:30:00-07:00
1669512000,31619,28.548,2022-11-26 18:20:00-07:00
1669511400,31619,28.537,2022-11-26 18:10:00-07:00
1669510800,31619,27.858,2022-11-26 18:00:00-07:00
1669510200,31619,26.548,2022-11-26 17:50:00-07:00
1669509600,31619,26.879,2022-11-26 17:40:00-07:00
