time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1683870600,165605,6.452999999999999,2023-05-11 23:50:00-06:00
1683870000,165605,6.455,2023-05-11 23:40:00-06:00
1683869400,165605,6.164,2023-05-11 23:30:00-06:00
1683868800,165605,6.416,2023-05-11 23:20:00-06:00
1683868200,165605,7.233,2023-05-11 23:10:00-06:00
1683867600,165605,7.147,2023-05-11 23:00:00-06:00
1683867000,165605,8.259,2023-05-11 22:50:00-06:00
1683866400,165605,9.022,2023-05-11 22:40:00-06:00
1683865800,165605,11.638,2023-05-11 22:30:00-06:00
1683865200,165605,14.399,2023-05-11 22:20:00-06:00
1683864600,165605,12.736,2023-05-11 22:10:00-06:00
1683864000,165605,12.879,2023-05-11 22:00:00-06:00
1683863400,165605,13.973,2023-05-11 21:50:00-06:00
1683862800,165605,14.961,2023-05-11 21:40:00-06:00
1683862200,165605,16.284,2023-05-11 21:30:00-06:00
1683861600,165605,16.333000000000002,2023-05-11 21:20:00-06:00
1683861000,165605,16.458,2023-05-11 21:10:00-06:00
1683860400,165605,15.889,2023-05-11 21:00:00-06:00
1683859800,165605,15.723,2023-05-11 20:50:00-06:00
1683859200,165605,15.712,2023-05-11 20:40:00-06:00
1683858600,165605,15.361999999999998,2023-05-11 20:30:00-06:00
1683858000,165605,14.755,2023-05-11 20:20:00-06:00
1683857400,165605,13.416,2023-05-11 20:10:00-06:00
1683856800,165605,12.573,2023-05-11 20:00:00-06:00
1683856200,165605,12.653,2023-05-11 19:50:00-06:00
1683855600,165605,13.406,2023-05-11 19:40:00-06:00
1683855000,165605,13.709,2023-05-11 19:30:00-06:00
1683854400,165605,14.854,2023-05-11 19:20:00-06:00
1683853800,165605,16.434,2023-05-11 19:10:00-06:00
1683853200,165605,10.255,2023-05-11 19:00:00-06:00
1683852600,165605,11.058,2023-05-11 18:50:00-06:00
1683852000,165605,20.952,2023-05-11 18:40:00-06:00
1683851400,165605,24.475,2023-05-11 18:30:00-06:00
