time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1684821000,127155,27.905,2023-05-22 23:50:00-06:00
1684820400,127155,27.258,2023-05-22 23:40:00-06:00
1684819800,127155,26.55,2023-05-22 23:30:00-06:00
1684819200,127155,26.15,2023-05-22 23:20:00-06:00
1684818600,127155,25.835,2023-05-22 23:10:00-06:00
1684818000,127155,25.813,2023-05-22 23:00:00-06:00
1684817400,127155,26.264,2023-05-22 22:50:00-06:00
1684816800,127155,31.183,2023-05-22 22:40:00-06:00
1684816200,127155,32.76,2023-05-22 22:30:00-06:00
1684815600,127155,26.402,2023-05-22 22:20:00-06:00
1684815000,127155,24.521,2023-05-22 22:10:00-06:00
1684814400,127155,23.853,2023-05-22 22:00:00-06:00
1684813800,127155,24.131,2023-05-22 21:50:00-06:00
1684813200,127155,25.152,2023-05-22 21:40:00-06:00
1684812600,127155,24.309,2023-05-22 21:30:00-06:00
1684812000,127155,23.541,2023-05-22 21:20:00-06:00
1684811400,127155,24.272,2023-05-22 21:10:00-06:00
1684810800,127155,25.259,2023-05-22 21:00:00-06:00
1684810200,127155,27.288,2023-05-22 20:50:00-06:00
1684809600,127155,28.741,2023-05-22 20:40:00-06:00
1684809000,127155,27.183,2023-05-22 20:30:00-06:00
1684808400,127155,22.238,2023-05-22 20:20:00-06:00
1684807800,127155,22.1,2023-05-22 20:10:00-06:00
1684807200,127155,21.767,2023-05-22 20:00:00-06:00
1684806600,127155,21.531,2023-05-22 19:50:00-06:00
1684806000,127155,21.458,2023-05-22 19:40:00-06:00
1684805400,127155,21.064,2023-05-22 19:30:00-06:00
1684804800,127155,21.374,2023-05-22 19:20:00-06:00
1684804200,127155,20.551,2023-05-22 19:10:00-06:00
1684803600,127155,20.579,2023-05-22 19:00:00-06:00
1684803000,127155,20.335,2023-05-22 18:50:00-06:00
1684802400,127155,20.023,2023-05-22 18:40:00-06:00
1684801800,127155,19.892,2023-05-22 18:30:00-06:00
1684801200,127155,19.751,2023-05-22 18:20:00-06:00
1684800600,127155,19.278,2023-05-22 18:10:00-06:00
1684800000,127155,19.497,2023-05-22 18:00:00-06:00
