time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1687413000,156491,1.513,2023-06-21 23:50:00-06:00
1687412400,156491,1.325,2023-06-21 23:40:00-06:00
1687411800,156491,1.041,2023-06-21 23:30:00-06:00
1687411200,156491,1.175,2023-06-21 23:20:00-06:00
1687410600,156491,0.988,2023-06-21 23:10:00-06:00
1687410000,156491,1.285,2023-06-21 23:00:00-06:00
1687409400,156491,1.3119999999999998,2023-06-21 22:50:00-06:00
1687408800,156491,1.016,2023-06-21 22:40:00-06:00
1687408200,156491,0.926,2023-06-21 22:30:00-06:00
1687407600,156491,0.986,2023-06-21 22:20:00-06:00
1687407000,156491,0.74,2023-06-21 22:10:00-06:00
1687406400,156491,0.928,2023-06-21 22:00:00-06:00
1687405800,156491,0.931,2023-06-21 21:50:00-06:00
1687405200,156491,0.93,2023-06-21 21:40:00-06:00
1687404600,156491,0.866,2023-06-21 21:30:00-06:00
1687404000,156491,0.728,2023-06-21 21:20:00-06:00
1687403400,156491,0.784,2023-06-21 21:10:00-06:00
1687402800,156491,1.548,2023-06-21 21:00:00-06:00
1687402200,156491,1.6,2023-06-21 20:50:00-06:00
1687401600,156491,1.742,2023-06-21 20:40:00-06:00
1687401000,156491,1.669,2023-06-21 20:30:00-06:00
1687400400,156491,1.495,2023-06-21 20:20:00-06:00
1687399800,156491,1.758,2023-06-21 20:10:00-06:00
1687399200,156491,2.645,2023-06-21 20:00:00-06:00
1687398600,156491,1.294,2023-06-21 19:50:00-06:00
1687398000,156491,1.101,2023-06-21 19:40:00-06:00
1687397400,156491,1.219,2023-06-21 19:30:00-06:00
1687396800,156491,1.079,2023-06-21 19:20:00-06:00
1687396200,156491,1.227,2023-06-21 19:10:00-06:00
1687395600,156491,1.552,2023-06-21 19:00:00-06:00
1687395000,156491,1.239,2023-06-21 18:50:00-06:00
1687394400,156491,1.092,2023-06-21 18:40:00-06:00
1687393800,156491,0.942,2023-06-21 18:30:00-06:00
1687393200,156491,1.321,2023-06-21 18:20:00-06:00
1687392600,156491,1.289,2023-06-21 18:10:00-06:00
1687392000,156491,1.38,2023-06-21 18:00:00-06:00
1687391400,156491,1.061,2023-06-21 17:50:00-06:00
1687390800,156491,1.48,2023-06-21 17:40:00-06:00
1687390200,156491,1.339,2023-06-21 17:30:00-06:00
1687389600,156491,1.245,2023-06-21 17:20:00-06:00
1687389000,156491,1.185,2023-06-21 17:10:00-06:00
1687388400,156491,1.376,2023-06-21 17:00:00-06:00
1687387800,156491,1.281,2023-06-21 16:50:00-06:00
1687387200,156491,1.331,2023-06-21 16:40:00-06:00
1687386600,156491,1.082,2023-06-21 16:30:00-06:00
1687386000,156491,1.489,2023-06-21 16:20:00-06:00
1687385400,156491,1.332,2023-06-21 16:10:00-06:00
1687384800,156491,1.238,2023-06-21 16:00:00-06:00
1687384200,156491,1.585,2023-06-21 15:50:00-06:00
1687383600,156491,0.956,2023-06-21 15:40:00-06:00
1687383000,156491,1.005,2023-06-21 15:30:00-06:00
1687382400,156491,1.407,2023-06-21 15:20:00-06:00
1687381800,156491,1.181,2023-06-21 15:10:00-06:00
1687381200,156491,1.322,2023-06-21 15:00:00-06:00
1687380600,156491,1.323,2023-06-21 14:50:00-06:00
1687380000,156491,1.357,2023-06-21 14:40:00-06:00
1687379400,156491,0.913,2023-06-21 14:30:00-06:00
1687378800,156491,0.754,2023-06-21 14:20:00-06:00
1687378200,156491,1.284,2023-06-21 14:10:00-06:00
1687377600,156491,1.653,2023-06-21 14:00:00-06:00
1687377000,156491,1.627,2023-06-21 13:50:00-06:00
1687376400,156491,1.736,2023-06-21 13:40:00-06:00
1687375800,156491,1.848,2023-06-21 13:30:00-06:00
1687375200,156491,2.129,2023-06-21 13:20:00-06:00
1687374600,156491,1.985,2023-06-21 13:10:00-06:00
1687374000,156491,1.873,2023-06-21 13:00:00-06:00
1687373400,156491,1.983,2023-06-21 12:50:00-06:00
1687372800,156491,2.062,2023-06-21 12:40:00-06:00
1687372200,156491,2.017,2023-06-21 12:30:00-06:00
1687371600,156491,1.985,2023-06-21 12:20:00-06:00
1687371000,156491,2.397,2023-06-21 12:10:00-06:00
1687370400,156491,1.896,2023-06-21 12:00:00-06:00
1687369800,156491,2.005,2023-06-21 11:50:00-06:00
1687369200,156491,2.084,2023-06-21 11:40:00-06:00
1687368600,156491,2.155,2023-06-21 11:30:00-06:00
1687368000,156491,2.141,2023-06-21 11:20:00-06:00
1687367400,156491,2.216,2023-06-21 11:10:00-06:00
1687366800,156491,1.955,2023-06-21 11:00:00-06:00
1687366200,156491,2.006,2023-06-21 10:50:00-06:00
1687365600,156491,1.9095,2023-06-21 10:40:00-06:00
1687365000,156491,1.971,2023-06-21 10:30:00-06:00
1687364400,156491,1.7925,2023-06-21 10:20:00-06:00
1687363800,156491,1.749,2023-06-21 10:10:00-06:00
1687363200,156491,1.9335,2023-06-21 10:00:00-06:00
1687362600,156491,1.658,2023-06-21 09:50:00-06:00
1687362000,156491,1.644,2023-06-21 09:40:00-06:00
1687361400,156491,1.978,2023-06-21 09:30:00-06:00
1687360800,156491,1.747,2023-06-21 09:20:00-06:00
1687360200,156491,1.727,2023-06-21 09:10:00-06:00
1687359600,156491,1.6909999999999998,2023-06-21 09:00:00-06:00
1687359000,156491,1.553,2023-06-21 08:50:00-06:00
1687358400,156491,1.654,2023-06-21 08:40:00-06:00
1687357800,156491,1.278,2023-06-21 08:30:00-06:00
1687357200,156491,1.5950000000000002,2023-06-21 08:20:00-06:00
1687356600,156491,1.739,2023-06-21 08:10:00-06:00
1687356000,156491,2.715,2023-06-21 08:00:00-06:00
1687355400,156491,3.5250000000000004,2023-06-21 07:50:00-06:00
1687354800,156491,2.888,2023-06-21 07:40:00-06:00
1687354200,156491,3.394,2023-06-21 07:30:00-06:00
1687353600,156491,3.459,2023-06-21 07:20:00-06:00
1687353000,156491,4.01,2023-06-21 07:10:00-06:00
1687352400,156491,3.362,2023-06-21 07:00:00-06:00
1687351800,156491,3.013,2023-06-21 06:50:00-06:00
1687351200,156491,2.829,2023-06-21 06:40:00-06:00
1687350600,156491,2.12,2023-06-21 06:30:00-06:00
1687350000,156491,2.319,2023-06-21 06:20:00-06:00
1687349400,156491,2.354,2023-06-21 06:10:00-06:00
1687348800,156491,2.498,2023-06-21 06:00:00-06:00
1687348200,156491,2.377,2023-06-21 05:50:00-06:00
1687347600,156491,2.213,2023-06-21 05:40:00-06:00
1687347000,156491,2.271,2023-06-21 05:30:00-06:00
1687346400,156491,2.567,2023-06-21 05:20:00-06:00
1687345800,156491,2.457,2023-06-21 05:10:00-06:00
1687345200,156491,2.658,2023-06-21 05:00:00-06:00
1687344600,156491,2.591,2023-06-21 04:50:00-06:00
1687344000,156491,2.286,2023-06-21 04:40:00-06:00
1687343400,156491,2.731,2023-06-21 04:30:00-06:00
1687342800,156491,3.617,2023-06-21 04:20:00-06:00
1687342200,156491,2.686,2023-06-21 04:10:00-06:00
1687341600,156491,2.5330000000000004,2023-06-21 04:00:00-06:00
1687341000,156491,2.882,2023-06-21 03:50:00-06:00
1687340400,156491,2.82,2023-06-21 03:40:00-06:00
1687339800,156491,2.685,2023-06-21 03:30:00-06:00
1687339200,156491,2.684,2023-06-21 03:20:00-06:00
1687338600,156491,2.783,2023-06-21 03:10:00-06:00
1687338000,156491,2.824,2023-06-21 03:00:00-06:00
1687337400,156491,2.884,2023-06-21 02:50:00-06:00
1687336800,156491,2.986,2023-06-21 02:40:00-06:00
1687336200,156491,3.386,2023-06-21 02:30:00-06:00
1687335600,156491,3.368,2023-06-21 02:20:00-06:00
1687335000,156491,3.395,2023-06-21 02:10:00-06:00
1687334400,156491,3.571,2023-06-21 02:00:00-06:00
1687333800,156491,3.2030000000000003,2023-06-21 01:50:00-06:00
1687333200,156491,3.276,2023-06-21 01:40:00-06:00
1687332600,156491,3.154,2023-06-21 01:30:00-06:00
1687332000,156491,2.992,2023-06-21 01:20:00-06:00
1687331400,156491,3.02,2023-06-21 01:10:00-06:00
1687330800,156491,3.0,2023-06-21 01:00:00-06:00
1687330200,156491,2.976,2023-06-21 00:50:00-06:00
1687329600,156491,2.877,2023-06-21 00:40:00-06:00
1687329000,156491,3.1870000000000003,2023-06-21 00:30:00-06:00
1687328400,156491,2.944,2023-06-21 00:20:00-06:00
1687327800,156491,3.282,2023-06-21 00:10:00-06:00
1687327200,156491,3.13,2023-06-21 00:00:00-06:00
1687326600,156491,3.135,2023-06-20 23:50:00-06:00
1687326000,156491,3.289,2023-06-20 23:40:00-06:00
1687325400,156491,3.162,2023-06-20 23:30:00-06:00
1687324800,156491,3.035,2023-06-20 23:20:00-06:00
1687324200,156491,3.39,2023-06-20 23:10:00-06:00
1687323600,156491,3.231,2023-06-20 23:00:00-06:00
1687323000,156491,3.05,2023-06-20 22:50:00-06:00
1687322400,156491,3.053,2023-06-20 22:40:00-06:00
1687321800,156491,2.916,2023-06-20 22:30:00-06:00
1687321200,156491,3.201,2023-06-20 22:20:00-06:00
1687320600,156491,3.104,2023-06-20 22:10:00-06:00
1687320000,156491,2.797,2023-06-20 22:00:00-06:00
1687319400,156491,3.071,2023-06-20 21:50:00-06:00
1687318800,156491,3.0730000000000004,2023-06-20 21:40:00-06:00
1687318200,156491,2.623,2023-06-20 21:30:00-06:00
1687317600,156491,2.984,2023-06-20 21:20:00-06:00
1687317000,156491,2.716,2023-06-20 21:10:00-06:00
1687316400,156491,2.69,2023-06-20 21:00:00-06:00
1687315800,156491,2.873,2023-06-20 20:50:00-06:00
1687315200,156491,3.007,2023-06-20 20:40:00-06:00
1687314600,156491,3.269,2023-06-20 20:30:00-06:00
1687314000,156491,3.3440000000000003,2023-06-20 20:20:00-06:00
1687313400,156491,3.366,2023-06-20 20:10:00-06:00
1687312800,156491,3.529,2023-06-20 20:00:00-06:00
1687312200,156491,3.366,2023-06-20 19:50:00-06:00
1687311600,156491,3.365,2023-06-20 19:40:00-06:00
1687311000,156491,3.286,2023-06-20 19:30:00-06:00
1687310400,156491,3.165,2023-06-20 19:20:00-06:00
1687309800,156491,3.327,2023-06-20 19:10:00-06:00
1687309200,156491,3.1980000000000004,2023-06-20 19:00:00-06:00
1687308600,156491,3.252,2023-06-20 18:50:00-06:00
1687308000,156491,3.5380000000000003,2023-06-20 18:40:00-06:00
1687307400,156491,3.685,2023-06-20 18:30:00-06:00
1687306800,156491,4.057,2023-06-20 18:20:00-06:00
1687306200,156491,3.763,2023-06-20 18:10:00-06:00
1687305600,156491,3.985,2023-06-20 18:00:00-06:00
1687305000,156491,3.852,2023-06-20 17:50:00-06:00
1687304400,156491,4.143,2023-06-20 17:40:00-06:00
1687303800,156491,5.568,2023-06-20 17:30:00-06:00
1687303200,156491,9.525,2023-06-20 17:20:00-06:00
1687302600,156491,9.275,2023-06-20 17:10:00-06:00
1687302000,156491,9.883,2023-06-20 17:00:00-06:00
1687301400,156491,9.786,2023-06-20 16:50:00-06:00
1687300800,156491,10.172,2023-06-20 16:40:00-06:00
1687300200,156491,9.693,2023-06-20 16:30:00-06:00
1687299600,156491,8.733,2023-06-20 16:20:00-06:00
1687299000,156491,10.501,2023-06-20 16:10:00-06:00
1687298400,156491,10.134,2023-06-20 16:00:00-06:00
1687297800,156491,9.504,2023-06-20 15:50:00-06:00
1687297200,156491,9.004000000000001,2023-06-20 15:40:00-06:00
1687296600,156491,9.44,2023-06-20 15:30:00-06:00
1687296000,156491,8.956,2023-06-20 15:20:00-06:00
1687295400,156491,9.181,2023-06-20 15:10:00-06:00
1687294800,156491,9.384,2023-06-20 15:00:00-06:00
1687294200,156491,9.255,2023-06-20 14:50:00-06:00
