time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1690091400,110634,1.305,2023-07-22 23:50:00-06:00
1690090800,110634,1.537,2023-07-22 23:40:00-06:00
1690090200,110634,2.551,2023-07-22 23:30:00-06:00
1690089600,110634,3.375,2023-07-22 23:20:00-06:00
1690089000,110634,3.918,2023-07-22 23:10:00-06:00
1690088400,110634,4.66,2023-07-22 23:00:00-06:00
1690087800,110634,4.343,2023-07-22 22:50:00-06:00
1690087200,110634,5.122,2023-07-22 22:40:00-06:00
1690086600,110634,5.245,2023-07-22 22:30:00-06:00
1690086000,110634,4.559,2023-07-22 22:20:00-06:00
1690085400,110634,4.337,2023-07-22 22:10:00-06:00
1690084800,110634,5.261,2023-07-22 22:00:00-06:00
1690084200,110634,5.097,2023-07-22 21:50:00-06:00
1690083600,110634,5.414,2023-07-22 21:40:00-06:00
1690083000,110634,5.942,2023-07-22 21:30:00-06:00
1690082400,110634,6.524,2023-07-22 21:20:00-06:00
1690081800,110634,6.708,2023-07-22 21:10:00-06:00
1690081200,110634,7.084,2023-07-22 21:00:00-06:00
1690080600,110634,6.085,2023-07-22 20:50:00-06:00
1690080000,110634,6.117,2023-07-22 20:40:00-06:00
1690079400,110634,7.214,2023-07-22 20:30:00-06:00
1690078800,110634,9.674,2023-07-22 20:20:00-06:00
1690078200,110634,7.279999999999999,2023-07-22 20:10:00-06:00
1690077600,110634,7.226,2023-07-22 20:00:00-06:00
1690077000,110634,6.827,2023-07-22 19:50:00-06:00
1690076400,110634,6.954,2023-07-22 19:40:00-06:00
1690075800,110634,6.514,2023-07-22 19:30:00-06:00
1690075200,110634,6.7620000000000005,2023-07-22 19:20:00-06:00
1690074600,110634,6.671,2023-07-22 19:10:00-06:00
1690074000,110634,6.452,2023-07-22 19:00:00-06:00
1690073400,110634,5.839,2023-07-22 18:50:00-06:00
1690072800,110634,5.649,2023-07-22 18:40:00-06:00
1690072200,110634,5.648,2023-07-22 18:30:00-06:00
1690071600,110634,5.785,2023-07-22 18:20:00-06:00
1690071000,110634,5.695,2023-07-22 18:10:00-06:00
1690070400,110634,5.726,2023-07-22 18:00:00-06:00
1690069800,110634,4.725,2023-07-22 17:50:00-06:00
1690069200,110634,4.208,2023-07-22 17:40:00-06:00
1690068600,110634,4.522,2023-07-22 17:30:00-06:00
1690068000,110634,4.729,2023-07-22 17:20:00-06:00
1690067400,110634,4.557,2023-07-22 17:10:00-06:00
1690066800,110634,4.268000000000001,2023-07-22 17:00:00-06:00
1690066200,110634,4.3260000000000005,2023-07-22 16:50:00-06:00
1690065600,110634,4.851,2023-07-22 16:40:00-06:00
1690065000,110634,4.381,2023-07-22 16:30:00-06:00
1690064400,110634,4.479,2023-07-22 16:20:00-06:00
1690063800,110634,4.414,2023-07-22 16:10:00-06:00
1690063200,110634,4.393,2023-07-22 16:00:00-06:00
1690062600,110634,4.822,2023-07-22 15:50:00-06:00
1690062000,110634,4.683,2023-07-22 15:40:00-06:00
1690061400,110634,4.831,2023-07-22 15:30:00-06:00
1690060800,110634,4.89,2023-07-22 15:20:00-06:00
1690060200,110634,5.243,2023-07-22 15:10:00-06:00
1690059600,110634,5.091,2023-07-22 15:00:00-06:00
1690059000,110634,5.05,2023-07-22 14:50:00-06:00
1690058400,110634,5.526,2023-07-22 14:40:00-06:00
1690057800,110634,4.937,2023-07-22 14:30:00-06:00
1690057200,110634,5.239,2023-07-22 14:20:00-06:00
1690056600,110634,5.144,2023-07-22 14:10:00-06:00
1690056000,110634,5.026,2023-07-22 14:00:00-06:00
1690055400,110634,5.428,2023-07-22 13:50:00-06:00
1690054800,110634,4.834,2023-07-22 13:40:00-06:00
1690054200,110634,4.668,2023-07-22 13:30:00-06:00
1690053600,110634,4.813000000000001,2023-07-22 13:20:00-06:00
1690053000,110634,5.008,2023-07-22 13:10:00-06:00
1690052400,110634,4.986000000000001,2023-07-22 13:00:00-06:00
1690051800,110634,5.895,2023-07-22 12:50:00-06:00
1690051200,110634,6.188000000000001,2023-07-22 12:40:00-06:00
1690050600,110634,5.785,2023-07-22 12:30:00-06:00
1690050000,110634,6.347,2023-07-22 12:20:00-06:00
1690049400,110634,5.988,2023-07-22 12:10:00-06:00
1690048800,110634,5.677,2023-07-22 12:00:00-06:00
1690048200,110634,5.589,2023-07-22 11:50:00-06:00
1690047600,110634,5.674,2023-07-22 11:40:00-06:00
1690047000,110634,5.754,2023-07-22 11:30:00-06:00
1690046400,110634,5.29,2023-07-22 11:20:00-06:00
1690045800,110634,5.772,2023-07-22 11:10:00-06:00
1690045200,110634,5.8580000000000005,2023-07-22 11:00:00-06:00
1690044600,110634,6.144,2023-07-22 10:50:00-06:00
1690044000,110634,6.2940000000000005,2023-07-22 10:40:00-06:00
1690043400,110634,6.016,2023-07-22 10:30:00-06:00
1690042800,110634,5.872999999999999,2023-07-22 10:20:00-06:00
1690042200,110634,5.561999999999999,2023-07-22 10:10:00-06:00
1690041600,110634,5.613,2023-07-22 10:00:00-06:00
1690041000,110634,6.059,2023-07-22 09:50:00-06:00
1690040400,110634,5.163,2023-07-22 09:40:00-06:00
1690039800,110634,5.729,2023-07-22 09:30:00-06:00
1690039200,110634,5.734,2023-07-22 09:20:00-06:00
1690038600,110634,6.707,2023-07-22 09:10:00-06:00
1690038000,110634,7.206,2023-07-22 09:00:00-06:00
1690037400,110634,7.224,2023-07-22 08:50:00-06:00
1690036800,110634,7.068999999999999,2023-07-22 08:40:00-06:00
1690036200,110634,7.058,2023-07-22 08:30:00-06:00
1690035600,110634,6.755,2023-07-22 08:20:00-06:00
1690035000,110634,6.697,2023-07-22 08:10:00-06:00
1690034400,110634,6.682,2023-07-22 08:00:00-06:00
1690033800,110634,6.823,2023-07-22 07:50:00-06:00
1690033200,110634,6.758,2023-07-22 07:40:00-06:00
1690032600,110634,7.113,2023-07-22 07:30:00-06:00
1690032000,110634,7.488,2023-07-22 07:20:00-06:00
1690031400,110634,7.454,2023-07-22 07:10:00-06:00
1690030800,110634,7.128,2023-07-22 07:00:00-06:00
1690030200,110634,6.912000000000001,2023-07-22 06:50:00-06:00
1690029600,110634,6.992,2023-07-22 06:40:00-06:00
1690029000,110634,6.849,2023-07-22 06:30:00-06:00
1690028400,110634,6.547000000000001,2023-07-22 06:20:00-06:00
1690027800,110634,6.117,2023-07-22 06:10:00-06:00
1690027200,110634,5.998,2023-07-22 06:00:00-06:00
1690026600,110634,6.55,2023-07-22 05:50:00-06:00
1690026000,110634,5.75,2023-07-22 05:40:00-06:00
1690025400,110634,5.763,2023-07-22 05:30:00-06:00
1690024800,110634,5.642,2023-07-22 05:20:00-06:00
1690024200,110634,5.529,2023-07-22 05:10:00-06:00
1690023600,110634,5.359999999999999,2023-07-22 05:00:00-06:00
1690023000,110634,5.85,2023-07-22 04:50:00-06:00
1690022400,110634,5.977,2023-07-22 04:40:00-06:00
1690021800,110634,5.508,2023-07-22 04:30:00-06:00
1690021200,110634,5.331,2023-07-22 04:20:00-06:00
1690020600,110634,4.939,2023-07-22 04:10:00-06:00
1690020000,110634,5.128,2023-07-22 04:00:00-06:00
1690019400,110634,5.304,2023-07-22 03:50:00-06:00
1690018800,110634,5.724,2023-07-22 03:40:00-06:00
1690018200,110634,5.491,2023-07-22 03:30:00-06:00
1690017600,110634,5.559,2023-07-22 03:20:00-06:00
1690017000,110634,5.402,2023-07-22 03:10:00-06:00
1690016400,110634,5.414,2023-07-22 03:00:00-06:00
1690015800,110634,5.550000000000001,2023-07-22 02:50:00-06:00
1690015200,110634,5.323,2023-07-22 02:40:00-06:00
1690014600,110634,5.475,2023-07-22 02:30:00-06:00
1690014000,110634,4.7,2023-07-22 02:20:00-06:00
1690013400,110634,4.675,2023-07-22 02:10:00-06:00
1690012800,110634,4.368,2023-07-22 02:00:00-06:00
1690012200,110634,4.696,2023-07-22 01:50:00-06:00
1690011600,110634,4.351,2023-07-22 01:40:00-06:00
1690011000,110634,4.182,2023-07-22 01:30:00-06:00
1690010400,110634,4.272,2023-07-22 01:20:00-06:00
1690009800,110634,4.371,2023-07-22 01:10:00-06:00
1690009200,110634,4.706,2023-07-22 01:00:00-06:00
1690008600,110634,5.231,2023-07-22 00:50:00-06:00
1690008000,110634,5.118,2023-07-22 00:40:00-06:00
1690007400,110634,5.693,2023-07-22 00:30:00-06:00
1690006800,110634,5.525,2023-07-22 00:20:00-06:00
1690006200,110634,4.970000000000001,2023-07-22 00:10:00-06:00
1690005600,110634,4.263999999999999,2023-07-22 00:00:00-06:00
1690005000,110634,3.722,2023-07-21 23:50:00-06:00
1690004400,110634,3.723,2023-07-21 23:40:00-06:00
1690003800,110634,3.38,2023-07-21 23:30:00-06:00
1690003200,110634,3.332,2023-07-21 23:20:00-06:00
1690002600,110634,3.1180000000000003,2023-07-21 23:10:00-06:00
1690002000,110634,3.105,2023-07-21 23:00:00-06:00
1690001400,110634,3.118,2023-07-21 22:50:00-06:00
1690000800,110634,2.985,2023-07-21 22:40:00-06:00
1690000200,110634,3.063,2023-07-21 22:30:00-06:00
1689999600,110634,3.3390000000000004,2023-07-21 22:20:00-06:00
1689999000,110634,3.401,2023-07-21 22:10:00-06:00
1689998400,110634,3.542,2023-07-21 22:00:00-06:00
1689997800,110634,3.46,2023-07-21 21:50:00-06:00
1689997200,110634,3.365,2023-07-21 21:40:00-06:00
1689996600,110634,3.508,2023-07-21 21:30:00-06:00
1689996000,110634,3.383,2023-07-21 21:20:00-06:00
1689995400,110634,3.172,2023-07-21 21:10:00-06:00
1689994800,110634,3.0940000000000003,2023-07-21 21:00:00-06:00
1689994200,110634,3.113,2023-07-21 20:50:00-06:00
1689993600,110634,3.41,2023-07-21 20:40:00-06:00
1689993000,110634,3.886,2023-07-21 20:30:00-06:00
1689992400,110634,3.919000000000001,2023-07-21 20:20:00-06:00
1689991800,110634,3.426,2023-07-21 20:10:00-06:00
1689991200,110634,3.401,2023-07-21 20:00:00-06:00
1689990600,110634,3.607,2023-07-21 19:50:00-06:00
1689990000,110634,3.616,2023-07-21 19:40:00-06:00
1689989400,110634,3.343,2023-07-21 19:30:00-06:00
1689988800,110634,2.986,2023-07-21 19:20:00-06:00
1689988200,110634,2.744,2023-07-21 19:10:00-06:00
1689987600,110634,2.857,2023-07-21 19:00:00-06:00
1689987000,110634,2.547,2023-07-21 18:50:00-06:00
1689986400,110634,2.746,2023-07-21 18:40:00-06:00
1689985800,110634,3.067,2023-07-21 18:30:00-06:00
1689985200,110634,3.031,2023-07-21 18:20:00-06:00
1689984600,110634,3.164,2023-07-21 18:10:00-06:00
1689984000,110634,3.045,2023-07-21 18:00:00-06:00
1689983400,110634,2.7510000000000003,2023-07-21 17:50:00-06:00
1689982800,110634,2.669,2023-07-21 17:40:00-06:00
1689982200,110634,3.003,2023-07-21 17:30:00-06:00
1689981600,110634,2.736,2023-07-21 17:20:00-06:00
1689981000,110634,2.715,2023-07-21 17:10:00-06:00
