time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691041800,115313,12.935,2023-08-02 23:50:00-06:00
1691041200,115313,11.59,2023-08-02 23:40:00-06:00
1691040600,115313,10.042,2023-08-02 23:30:00-06:00
1691040000,115313,10.789,2023-08-02 23:20:00-06:00
1691039400,115313,11.846,2023-08-02 23:10:00-06:00
1691038800,115313,12.5,2023-08-02 23:00:00-06:00
1691038200,115313,13.376,2023-08-02 22:50:00-06:00
1691037600,115313,14.612000000000002,2023-08-02 22:40:00-06:00
1691037000,115313,14.389,2023-08-02 22:30:00-06:00
1691036400,115313,13.367,2023-08-02 22:20:00-06:00
1691035800,115313,13.844,2023-08-02 22:10:00-06:00
1691035200,115313,13.961,2023-08-02 22:00:00-06:00
1691034600,115313,13.734,2023-08-02 21:50:00-06:00
1691034000,115313,11.602,2023-08-02 21:40:00-06:00
1691033400,115313,11.178999999999998,2023-08-02 21:30:00-06:00
1691032800,115313,11.378,2023-08-02 21:20:00-06:00
1691032200,115313,9.654,2023-08-02 21:10:00-06:00
1691031600,115313,9.464,2023-08-02 21:00:00-06:00
1691031000,115313,10.138,2023-08-02 20:50:00-06:00
1691030400,115313,11.312,2023-08-02 20:40:00-06:00
1691029800,115313,12.23,2023-08-02 20:30:00-06:00
1691029200,115313,13.428,2023-08-02 20:20:00-06:00
1691028600,115313,13.411,2023-08-02 20:10:00-06:00
1691028000,115313,12.847,2023-08-02 20:00:00-06:00
1691027400,115313,11.311,2023-08-02 19:50:00-06:00
1691026800,115313,10.745,2023-08-02 19:40:00-06:00
1691026200,115313,11.356,2023-08-02 19:30:00-06:00
1691025600,115313,10.624,2023-08-02 19:20:00-06:00
1691025000,115313,9.679,2023-08-02 19:10:00-06:00
1691024400,115313,10.528,2023-08-02 19:00:00-06:00
1691023800,115313,10.462,2023-08-02 18:50:00-06:00
1691023200,115313,11.031,2023-08-02 18:40:00-06:00
1691022600,115313,14.906,2023-08-02 18:30:00-06:00
1691022000,115313,16.146,2023-08-02 18:20:00-06:00
