time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691387400,72315,29.692,2023-08-06 23:50:00-06:00
1691386800,72315,30.285,2023-08-06 23:40:00-06:00
1691386200,72315,30.94,2023-08-06 23:30:00-06:00
1691385600,72315,31.061,2023-08-06 23:20:00-06:00
1691385000,72315,30.377,2023-08-06 23:10:00-06:00
1691384400,72315,29.936,2023-08-06 23:00:00-06:00
1691383800,72315,29.288,2023-08-06 22:50:00-06:00
1691383200,72315,29.553,2023-08-06 22:40:00-06:00
1691382600,72315,28.94,2023-08-06 22:30:00-06:00
1691382000,72315,29.088,2023-08-06 22:20:00-06:00
1691381400,72315,28.84,2023-08-06 22:10:00-06:00
1691380800,72315,28.418,2023-08-06 22:00:00-06:00
1691380200,72315,28.521,2023-08-06 21:50:00-06:00
1691379600,72315,29.255,2023-08-06 21:40:00-06:00
1691379000,72315,29.42,2023-08-06 21:30:00-06:00
1691378400,72315,28.036,2023-08-06 21:20:00-06:00
1691377800,72315,27.749,2023-08-06 21:10:00-06:00
1691377200,72315,27.595,2023-08-06 21:00:00-06:00
1691376600,72315,26.729,2023-08-06 20:50:00-06:00
1691376000,72315,26.695,2023-08-06 20:40:00-06:00
1691375400,72315,26.434,2023-08-06 20:30:00-06:00
1691374800,72315,25.708,2023-08-06 20:20:00-06:00
1691374200,72315,25.481,2023-08-06 20:10:00-06:00
1691373600,72315,25.312,2023-08-06 20:00:00-06:00
1691373000,72315,24.355,2023-08-06 19:50:00-06:00
1691372400,72315,23.383000000000003,2023-08-06 19:40:00-06:00
1691371800,72315,23.359,2023-08-06 19:30:00-06:00
1691371200,72315,22.81,2023-08-06 19:20:00-06:00
1691370600,72315,22.756,2023-08-06 19:10:00-06:00
1691370000,72315,22.724,2023-08-06 19:00:00-06:00
1691369400,72315,21.756,2023-08-06 18:50:00-06:00
1691368800,72315,21.744,2023-08-06 18:40:00-06:00
1691368200,72315,21.535,2023-08-06 18:30:00-06:00
1691367600,72315,21.145000000000003,2023-08-06 18:20:00-06:00
1691367000,72315,21.427,2023-08-06 18:10:00-06:00
1691366400,72315,21.275,2023-08-06 18:00:00-06:00
1691365800,72315,21.763,2023-08-06 17:50:00-06:00
1691365200,72315,22.439,2023-08-06 17:40:00-06:00
1691364600,72315,22.719,2023-08-06 17:30:00-06:00
1691364000,72315,23.198,2023-08-06 17:20:00-06:00
1691363400,72315,23.554,2023-08-06 17:10:00-06:00
1691362800,72315,22.669,2023-08-06 17:00:00-06:00
1691362200,72315,23.78,2023-08-06 16:50:00-06:00
1691361600,72315,23.686,2023-08-06 16:40:00-06:00
1691361000,72315,22.632,2023-08-06 16:30:00-06:00
1691360400,72315,22.235,2023-08-06 16:20:00-06:00
1691359800,72315,22.211,2023-08-06 16:10:00-06:00
1691359200,72315,20.881,2023-08-06 16:00:00-06:00
1691358600,72315,21.331000000000003,2023-08-06 15:50:00-06:00
1691358000,72315,21.893,2023-08-06 15:40:00-06:00
1691357400,72315,23.147,2023-08-06 15:30:00-06:00
1691356800,72315,22.875,2023-08-06 15:20:00-06:00
1691356200,72315,23.041,2023-08-06 15:10:00-06:00
1691355600,72315,21.47,2023-08-06 15:00:00-06:00
1691355000,72315,22.586,2023-08-06 14:50:00-06:00
1691354400,72315,22.172,2023-08-06 14:40:00-06:00
1691353800,72315,21.826,2023-08-06 14:30:00-06:00
1691353200,72315,21.649,2023-08-06 14:20:00-06:00
1691352600,72315,21.992,2023-08-06 14:10:00-06:00
1691352000,72315,21.984,2023-08-06 14:00:00-06:00
1691351400,72315,22.53,2023-08-06 13:50:00-06:00
1691350800,72315,21.499,2023-08-06 13:40:00-06:00
1691350200,72315,19.754,2023-08-06 13:30:00-06:00
1691349600,72315,20.044,2023-08-06 13:20:00-06:00
1691349000,72315,20.586,2023-08-06 13:10:00-06:00
1691348400,72315,20.533,2023-08-06 13:00:00-06:00
1691347800,72315,20.444000000000003,2023-08-06 12:50:00-06:00
1691347200,72315,18.682,2023-08-06 12:40:00-06:00
1691346600,72315,19.095,2023-08-06 12:30:00-06:00
1691346000,72315,19.556,2023-08-06 12:20:00-06:00
1691345400,72315,20.281,2023-08-06 12:10:00-06:00
1691344800,72315,20.293,2023-08-06 12:00:00-06:00
1691344200,72315,20.622,2023-08-06 11:50:00-06:00
1691343600,72315,20.382,2023-08-06 11:40:00-06:00
1691343000,72315,20.624,2023-08-06 11:30:00-06:00
1691342400,72315,21.774,2023-08-06 11:20:00-06:00
1691341800,72315,21.917,2023-08-06 11:10:00-06:00
1691341200,72315,21.916,2023-08-06 11:00:00-06:00
1691340600,72315,22.969,2023-08-06 10:50:00-06:00
1691340000,72315,22.837,2023-08-06 10:40:00-06:00
1691339400,72315,22.477,2023-08-06 10:30:00-06:00
1691338800,72315,22.101,2023-08-06 10:20:00-06:00
1691338200,72315,23.586,2023-08-06 10:10:00-06:00
1691337600,72315,23.685,2023-08-06 10:00:00-06:00
1691337000,72315,23.118,2023-08-06 09:50:00-06:00
1691336400,72315,25.253,2023-08-06 09:40:00-06:00
1691335800,72315,26.038,2023-08-06 09:30:00-06:00
1691335200,72315,25.102,2023-08-06 09:20:00-06:00
1691334600,72315,24.073,2023-08-06 09:10:00-06:00
1691334000,72315,22.802,2023-08-06 09:00:00-06:00
1691333400,72315,23.218,2023-08-06 08:50:00-06:00
1691332800,72315,23.398,2023-08-06 08:40:00-06:00
1691332200,72315,23.244,2023-08-06 08:30:00-06:00
1691331600,72315,24.169,2023-08-06 08:20:00-06:00
1691331000,72315,24.695,2023-08-06 08:10:00-06:00
1691330400,72315,25.512,2023-08-06 08:00:00-06:00
1691329800,72315,27.332,2023-08-06 07:50:00-06:00
1691329200,72315,28.892,2023-08-06 07:40:00-06:00
1691328600,72315,29.718,2023-08-06 07:30:00-06:00
1691328000,72315,30.275,2023-08-06 07:20:00-06:00
1691327400,72315,30.822000000000003,2023-08-06 07:10:00-06:00
1691326800,72315,30.253,2023-08-06 07:00:00-06:00
1691326200,72315,31.004,2023-08-06 06:50:00-06:00
1691325600,72315,30.864,2023-08-06 06:40:00-06:00
1691325000,72315,31.729,2023-08-06 06:30:00-06:00
1691324400,72315,31.556,2023-08-06 06:20:00-06:00
1691323800,72315,30.865,2023-08-06 06:10:00-06:00
1691323200,72315,31.253,2023-08-06 06:00:00-06:00
1691322600,72315,31.044,2023-08-06 05:50:00-06:00
1691322000,72315,30.837,2023-08-06 05:40:00-06:00
