time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691560200,105200,1.169,2023-08-08 23:50:00-06:00
1691559600,105200,1.0779999999999998,2023-08-08 23:40:00-06:00
1691559000,105200,0.956,2023-08-08 23:30:00-06:00
1691558400,105200,1.144,2023-08-08 23:20:00-06:00
1691557800,105200,1.295,2023-08-08 23:10:00-06:00
1691557200,105200,1.119,2023-08-08 23:00:00-06:00
1691556600,105200,1.23,2023-08-08 22:50:00-06:00
1691556000,105200,1.108,2023-08-08 22:40:00-06:00
1691555400,105200,0.889,2023-08-08 22:30:00-06:00
1691554800,105200,1.131,2023-08-08 22:20:00-06:00
1691554200,105200,0.928,2023-08-08 22:10:00-06:00
1691553600,105200,1.032,2023-08-08 22:00:00-06:00
1691553000,105200,1.026,2023-08-08 21:50:00-06:00
1691552400,105200,1.614,2023-08-08 21:40:00-06:00
1691551800,105200,1.632,2023-08-08 21:30:00-06:00
1691551200,105200,1.752,2023-08-08 21:20:00-06:00
1691550600,105200,1.527,2023-08-08 21:10:00-06:00
1691550000,105200,1.807,2023-08-08 21:00:00-06:00
1691549400,105200,1.762,2023-08-08 20:50:00-06:00
1691548800,105200,1.735,2023-08-08 20:40:00-06:00
1691548200,105200,1.646,2023-08-08 20:30:00-06:00
1691547600,105200,1.288,2023-08-08 20:20:00-06:00
1691547000,105200,1.777,2023-08-08 20:10:00-06:00
1691546400,105200,2.015,2023-08-08 20:00:00-06:00
1691545800,105200,2.526,2023-08-08 19:50:00-06:00
1691545200,105200,2.091,2023-08-08 19:40:00-06:00
1691544600,105200,2.158,2023-08-08 19:30:00-06:00
1691544000,105200,1.986,2023-08-08 19:20:00-06:00
1691543400,105200,1.938,2023-08-08 19:10:00-06:00
1691542800,105200,1.5790000000000002,2023-08-08 19:00:00-06:00
1691542200,105200,1.676,2023-08-08 18:50:00-06:00
1691541600,105200,1.903,2023-08-08 18:40:00-06:00
1691541000,105200,1.541,2023-08-08 18:30:00-06:00
1691540400,105200,1.59,2023-08-08 18:20:00-06:00
1691539800,105200,1.2,2023-08-08 18:10:00-06:00
1691539200,105200,1.168,2023-08-08 18:00:00-06:00
1691538600,105200,0.8460000000000001,2023-08-08 17:50:00-06:00
1691538000,105200,1.185,2023-08-08 17:40:00-06:00
1691537400,105200,1.5,2023-08-08 17:30:00-06:00
1691536800,105200,1.729,2023-08-08 17:20:00-06:00
1691536200,105200,2.2,2023-08-08 17:10:00-06:00
1691535600,105200,2.248,2023-08-08 17:00:00-06:00
1691535000,105200,2.049,2023-08-08 16:50:00-06:00
1691534400,105200,2.1020000000000003,2023-08-08 16:40:00-06:00
1691533800,105200,2.279,2023-08-08 16:30:00-06:00
1691533200,105200,3.377,2023-08-08 16:20:00-06:00
1691532600,105200,2.992,2023-08-08 16:10:00-06:00
1691532000,105200,2.755,2023-08-08 16:00:00-06:00
1691525400,105200,2.5,2023-08-08 14:10:00-06:00
1691524800,105200,2.48,2023-08-08 14:00:00-06:00
1691524200,105200,3.057,2023-08-08 13:50:00-06:00
1691523600,105200,3.157,2023-08-08 13:40:00-06:00
1691523000,105200,2.986,2023-08-08 13:30:00-06:00
1691522400,105200,2.918,2023-08-08 13:20:00-06:00
1691521800,105200,3.073,2023-08-08 13:10:00-06:00
1691521200,105200,2.734,2023-08-08 13:00:00-06:00
1691520600,105200,2.511,2023-08-08 12:50:00-06:00
1691520000,105200,2.493,2023-08-08 12:40:00-06:00
1691519400,105200,2.139,2023-08-08 12:30:00-06:00
1691518800,105200,2.298,2023-08-08 12:20:00-06:00
1691518200,105200,2.295,2023-08-08 12:10:00-06:00
1691517600,105200,2.207,2023-08-08 12:00:00-06:00
1691517000,105200,1.962,2023-08-08 11:50:00-06:00
1691516400,105200,2.101,2023-08-08 11:40:00-06:00
1691515800,105200,2.337,2023-08-08 11:30:00-06:00
1691515200,105200,2.153,2023-08-08 11:20:00-06:00
1691514600,105200,2.499,2023-08-08 11:10:00-06:00
1691514000,105200,2.442,2023-08-08 11:00:00-06:00
1691513400,105200,2.257,2023-08-08 10:50:00-06:00
1691512800,105200,2.081,2023-08-08 10:40:00-06:00
1691512200,105200,2.1260000000000003,2023-08-08 10:30:00-06:00
1691511600,105200,2.275,2023-08-08 10:20:00-06:00
1691511000,105200,2.478,2023-08-08 10:10:00-06:00
1691510400,105200,2.042,2023-08-08 10:00:00-06:00
1691509800,105200,1.762,2023-08-08 09:50:00-06:00
1691509200,105200,1.904,2023-08-08 09:40:00-06:00
1691508600,105200,2.326,2023-08-08 09:30:00-06:00
1691508000,105200,2.447,2023-08-08 09:20:00-06:00
1691507400,105200,2.474,2023-08-08 09:10:00-06:00
1691506800,105200,2.267,2023-08-08 09:00:00-06:00
1691506200,105200,2.0940000000000003,2023-08-08 08:50:00-06:00
1691505600,105200,2.379,2023-08-08 08:40:00-06:00
1691505000,105200,2.3040000000000003,2023-08-08 08:30:00-06:00
1691504400,105200,2.313,2023-08-08 08:20:00-06:00
1691503800,105200,2.031,2023-08-08 08:10:00-06:00
1691503200,105200,2.5090000000000003,2023-08-08 08:00:00-06:00
1691502600,105200,2.9370000000000003,2023-08-08 07:50:00-06:00
