time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691646600,37693,1.567,2023-08-09 23:50:00-06:00
1691646000,37693,1.809,2023-08-09 23:40:00-06:00
1691645400,37693,2.367,2023-08-09 23:30:00-06:00
1691644800,37693,2.385,2023-08-09 23:20:00-06:00
1691644200,37693,2.246,2023-08-09 23:10:00-06:00
1691643600,37693,2.895,2023-08-09 23:00:00-06:00
1691643000,37693,2.426,2023-08-09 22:50:00-06:00
1691642400,37693,2.693,2023-08-09 22:40:00-06:00
1691641800,37693,2.298,2023-08-09 22:30:00-06:00
1691641200,37693,2.061,2023-08-09 22:20:00-06:00
1691640600,37693,2.508,2023-08-09 22:10:00-06:00
1691640000,37693,2.699,2023-08-09 22:00:00-06:00
1691639400,37693,3.033,2023-08-09 21:50:00-06:00
1691638800,37693,3.98,2023-08-09 21:40:00-06:00
1691638200,37693,4.463,2023-08-09 21:30:00-06:00
1691637600,37693,4.124,2023-08-09 21:20:00-06:00
1691637000,37693,3.91,2023-08-09 21:10:00-06:00
1691636400,37693,3.581,2023-08-09 21:00:00-06:00
1691635800,37693,3.901,2023-08-09 20:50:00-06:00
1691635200,37693,3.053,2023-08-09 20:40:00-06:00
1691634600,37693,4.313,2023-08-09 20:30:00-06:00
1691634000,37693,2.678,2023-08-09 20:20:00-06:00
1691633400,37693,3.095,2023-08-09 20:10:00-06:00
1691632800,37693,2.919,2023-08-09 20:00:00-06:00
1691632200,37693,3.663,2023-08-09 19:50:00-06:00
1691631600,37693,13.896,2023-08-09 19:40:00-06:00
1691631000,37693,84.507,2023-08-09 19:30:00-06:00
1691630400,37693,78.569,2023-08-09 19:20:00-06:00
1691629800,37693,25.047,2023-08-09 19:10:00-06:00
1691629200,37693,4.612,2023-08-09 19:00:00-06:00
1691628600,37693,5.013999999999999,2023-08-09 18:50:00-06:00
1691628000,37693,5.386,2023-08-09 18:40:00-06:00
1691627400,37693,6.305999999999999,2023-08-09 18:30:00-06:00
1691626800,37693,6.567,2023-08-09 18:20:00-06:00
1691626200,37693,5.939,2023-08-09 18:10:00-06:00
1691625600,37693,5.847,2023-08-09 18:00:00-06:00
1691625000,37693,6.028,2023-08-09 17:50:00-06:00
1691624400,37693,6.385,2023-08-09 17:40:00-06:00
1691623800,37693,6.001,2023-08-09 17:30:00-06:00
1691623200,37693,5.602,2023-08-09 17:20:00-06:00
