time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691819400,51959,6.908,2023-08-11 23:50:00-06:00
1691818800,51959,7.261,2023-08-11 23:40:00-06:00
1691818200,51959,7.008,2023-08-11 23:30:00-06:00
1691817600,51959,6.27,2023-08-11 23:20:00-06:00
1691817000,51959,5.994999999999999,2023-08-11 23:10:00-06:00
1691816400,51959,5.679,2023-08-11 23:00:00-06:00
1691815800,51959,6.117,2023-08-11 22:50:00-06:00
1691815200,51959,5.336,2023-08-11 22:40:00-06:00
1691814600,51959,5.397,2023-08-11 22:30:00-06:00
1691814000,51959,5.033,2023-08-11 22:20:00-06:00
1691813400,51959,5.385,2023-08-11 22:10:00-06:00
1691812800,51959,4.971,2023-08-11 22:00:00-06:00
1691812200,51959,4.497,2023-08-11 21:50:00-06:00
1691811600,51959,4.91,2023-08-11 21:40:00-06:00
1691811000,51959,4.962999999999999,2023-08-11 21:30:00-06:00
1691810400,51959,4.051,2023-08-11 21:20:00-06:00
1691809800,51959,4.105,2023-08-11 21:10:00-06:00
1691809200,51959,4.326,2023-08-11 21:00:00-06:00
1691808600,51959,4.281,2023-08-11 20:50:00-06:00
1691808000,51959,3.93,2023-08-11 20:40:00-06:00
1691807400,51959,3.873,2023-08-11 20:30:00-06:00
1691806800,51959,4.114,2023-08-11 20:20:00-06:00
1691806200,51959,4.321,2023-08-11 20:10:00-06:00
1691805600,51959,3.888,2023-08-11 20:00:00-06:00
1691805000,51959,4.244,2023-08-11 19:50:00-06:00
1691804400,51959,3.624,2023-08-11 19:40:00-06:00
1691803800,51959,3.712,2023-08-11 19:30:00-06:00
1691803200,51959,3.814,2023-08-11 19:20:00-06:00
1691802600,51959,4.062,2023-08-11 19:10:00-06:00
1691802000,51959,3.796,2023-08-11 19:00:00-06:00
1691801400,51959,4.067,2023-08-11 18:50:00-06:00
1691800800,51959,3.075,2023-08-11 18:40:00-06:00
1691800200,51959,3.059,2023-08-11 18:30:00-06:00
1691799600,51959,3.216,2023-08-11 18:20:00-06:00
1691799000,51959,3.0460000000000003,2023-08-11 18:10:00-06:00
1691798400,51959,3.376,2023-08-11 18:00:00-06:00
1691797800,51959,3.043,2023-08-11 17:50:00-06:00
1691797200,51959,3.944,2023-08-11 17:40:00-06:00
1691796600,51959,2.779,2023-08-11 17:30:00-06:00
1691796000,51959,3.2150000000000003,2023-08-11 17:20:00-06:00
1691795400,51959,2.947,2023-08-11 17:10:00-06:00
1691794800,51959,3.231,2023-08-11 17:00:00-06:00
1691794200,51959,2.991,2023-08-11 16:50:00-06:00
1691793600,51959,2.916,2023-08-11 16:40:00-06:00
1691793000,51959,2.407,2023-08-11 16:30:00-06:00
1691792400,51959,2.796,2023-08-11 16:20:00-06:00
1691791800,51959,2.442,2023-08-11 16:10:00-06:00
1691791200,51959,3.225,2023-08-11 16:00:00-06:00
1691790600,51959,3.004,2023-08-11 15:50:00-06:00
