time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691905800,57157,6.087999999999999,2023-08-12 23:50:00-06:00
1691905200,57157,33.62,2023-08-12 23:40:00-06:00
1691904600,57157,33.562,2023-08-12 23:30:00-06:00
1691904000,57157,15.422,2023-08-12 23:20:00-06:00
1691903400,57157,6.37,2023-08-12 23:10:00-06:00
1691902800,57157,7.695,2023-08-12 23:00:00-06:00
1691902200,57157,13.581,2023-08-12 22:50:00-06:00
1691901600,57157,13.11,2023-08-12 22:40:00-06:00
1691901000,57157,15.561,2023-08-12 22:30:00-06:00
1691900400,57157,17.087000000000003,2023-08-12 22:20:00-06:00
1691899800,57157,11.7535,2023-08-12 22:10:00-06:00
1691899200,57157,5.797000000000001,2023-08-12 22:00:00-06:00
1691898600,57157,1.822,2023-08-12 21:50:00-06:00
1691898000,57157,1.423,2023-08-12 21:40:00-06:00
1691897400,57157,1.6840000000000002,2023-08-12 21:30:00-06:00
1691896800,57157,1.455,2023-08-12 21:20:00-06:00
1691896200,57157,1.431,2023-08-12 21:10:00-06:00
1691895600,57157,1.287,2023-08-12 21:00:00-06:00
1691895000,57157,1.393,2023-08-12 20:50:00-06:00
1691894400,57157,1.378,2023-08-12 20:40:00-06:00
1691893800,57157,1.456,2023-08-12 20:30:00-06:00
1691893200,57157,1.738,2023-08-12 20:20:00-06:00
1691892600,57157,1.94,2023-08-12 20:10:00-06:00
1691892000,57157,1.879,2023-08-12 20:00:00-06:00
1691891400,57157,1.206,2023-08-12 19:50:00-06:00
1691890800,57157,1.4469999999999998,2023-08-12 19:40:00-06:00
1691890200,57157,1.03,2023-08-12 19:30:00-06:00
1691889600,57157,1.262,2023-08-12 19:20:00-06:00
1691889000,57157,1.034,2023-08-12 19:10:00-06:00
1691888400,57157,1.088,2023-08-12 19:00:00-06:00
1691887800,57157,1.147,2023-08-12 18:50:00-06:00
1691887200,57157,1.3239999999999998,2023-08-12 18:40:00-06:00
1691886600,57157,1.255,2023-08-12 18:30:00-06:00
1691886000,57157,1.242,2023-08-12 18:20:00-06:00
1691885400,57157,1.241,2023-08-12 18:10:00-06:00
1691884800,57157,1.397,2023-08-12 18:00:00-06:00
1691884200,57157,1.174,2023-08-12 17:50:00-06:00
1691883600,57157,1.364,2023-08-12 17:40:00-06:00
1691883000,57157,1.131,2023-08-12 17:30:00-06:00
1691882400,57157,1.06,2023-08-12 17:20:00-06:00
1691881800,57157,1.045,2023-08-12 17:10:00-06:00
1691881200,57157,1.351,2023-08-12 17:00:00-06:00
1691880600,57157,1.157,2023-08-12 16:50:00-06:00
1691880000,57157,1.206,2023-08-12 16:40:00-06:00
1691879400,57157,1.344,2023-08-12 16:30:00-06:00
1691878800,57157,0.8099999999999999,2023-08-12 16:20:00-06:00
1691878200,57157,1.05,2023-08-12 16:10:00-06:00
1691877600,57157,1.063,2023-08-12 16:00:00-06:00
