time_stamp,sensor_index,pm2.5_atm,time_stamp_UTC
1691992200,121385,3.458,2023-08-13 23:50:00-06:00
1691991600,121385,3.571,2023-08-13 23:40:00-06:00
1691991000,121385,3.4000000000000004,2023-08-13 23:30:00-06:00
1691990400,121385,3.45,2023-08-13 23:20:00-06:00
1691989800,121385,3.224,2023-08-13 23:10:00-06:00
1691989200,121385,3.707,2023-08-13 23:00:00-06:00
1691988600,121385,3.514,2023-08-13 22:50:00-06:00
1691988000,121385,3.456,2023-08-13 22:40:00-06:00
1691987400,121385,3.4400000000000004,2023-08-13 22:30:00-06:00
1691986800,121385,3.468,2023-08-13 22:20:00-06:00
1691986200,121385,3.612,2023-08-13 22:10:00-06:00
1691985600,121385,3.719,2023-08-13 22:00:00-06:00
1691985000,121385,4.281000000000001,2023-08-13 21:50:00-06:00
1691984400,121385,4.588,2023-08-13 21:40:00-06:00
1691983800,121385,3.958,2023-08-13 21:30:00-06:00
1691983200,121385,3.943,2023-08-13 21:20:00-06:00
1691982600,121385,3.784,2023-08-13 21:10:00-06:00
1691982000,121385,4.117,2023-08-13 21:00:00-06:00
1691981400,121385,4.35,2023-08-13 20:50:00-06:00
1691980800,121385,3.576,2023-08-13 20:40:00-06:00
1691980200,121385,3.099,2023-08-13 20:30:00-06:00
1691979600,121385,3.311,2023-08-13 20:20:00-06:00
1691979000,121385,3.4450000000000003,2023-08-13 20:10:00-06:00
1691978400,121385,2.9720000000000004,2023-08-13 20:00:00-06:00
1691977800,121385,3.404,2023-08-13 19:50:00-06:00
1691977200,121385,2.974,2023-08-13 19:40:00-06:00
1691976600,121385,3.065,2023-08-13 19:30:00-06:00
1691976000,121385,3.217,2023-08-13 19:20:00-06:00
1691975400,121385,2.73,2023-08-13 19:10:00-06:00
1691974800,121385,3.0170000000000003,2023-08-13 19:00:00-06:00
1691974200,121385,3.2190000000000003,2023-08-13 18:50:00-06:00
1691973600,121385,7.853,2023-08-13 18:40:00-06:00
1691973000,121385,2.447,2023-08-13 18:30:00-06:00
1691972400,121385,2.897,2023-08-13 18:20:00-06:00
1691971800,121385,3.167,2023-08-13 18:10:00-06:00
1691971200,121385,2.134,2023-08-13 18:00:00-06:00
1691970600,121385,3.635,2023-08-13 17:50:00-06:00
1691970000,121385,8.354,2023-08-13 17:40:00-06:00
1691969400,121385,14.316,2023-08-13 17:30:00-06:00
1691968800,121385,100.382,2023-08-13 17:20:00-06:00
1691968200,121385,19.303,2023-08-13 17:10:00-06:00
1691967600,121385,6.553000000000001,2023-08-13 17:00:00-06:00
1691967000,121385,7.755000000000001,2023-08-13 16:50:00-06:00
1691966400,121385,6.786,2023-08-13 16:40:00-06:00
1691965800,121385,6.59,2023-08-13 16:30:00-06:00
1691965200,121385,6.226,2023-08-13 16:20:00-06:00
1691964600,121385,6.242,2023-08-13 16:10:00-06:00
1691964000,121385,5.959,2023-08-13 16:00:00-06:00
1691963400,121385,7.262,2023-08-13 15:50:00-06:00
1691962800,121385,6.266,2023-08-13 15:40:00-06:00
1691962200,121385,5.590999999999999,2023-08-13 15:30:00-06:00
1691961600,121385,5.715,2023-08-13 15:20:00-06:00
1691961000,121385,5.914,2023-08-13 15:10:00-06:00
1691960400,121385,4.776,2023-08-13 15:00:00-06:00
1691959800,121385,5.338,2023-08-13 14:50:00-06:00
1691959200,121385,5.832,2023-08-13 14:40:00-06:00
1691958600,121385,5.884,2023-08-13 14:30:00-06:00
1691958000,121385,5.905,2023-08-13 14:20:00-06:00
1691957400,121385,4.924,2023-08-13 14:10:00-06:00
1691956800,121385,5.035,2023-08-13 14:00:00-06:00
1691956200,121385,4.511,2023-08-13 13:50:00-06:00
1691955600,121385,4.116,2023-08-13 13:40:00-06:00
1691955000,121385,3.753,2023-08-13 13:30:00-06:00
1691954400,121385,3.173,2023-08-13 13:20:00-06:00
1691953800,121385,3.023,2023-08-13 13:10:00-06:00
1691953200,121385,3.308,2023-08-13 13:00:00-06:00
1691952600,121385,6.052,2023-08-13 12:50:00-06:00
1691952000,121385,7.116,2023-08-13 12:40:00-06:00
1691951400,121385,7.471999999999999,2023-08-13 12:30:00-06:00
1691950800,121385,17.991999999999997,2023-08-13 12:20:00-06:00
1691950200,121385,18.55,2023-08-13 12:10:00-06:00
1691949600,121385,18.716,2023-08-13 12:00:00-06:00
1691949000,121385,19.562,2023-08-13 11:50:00-06:00
1691948400,121385,22.729,2023-08-13 11:40:00-06:00
1691947800,121385,20.947000000000003,2023-08-13 11:30:00-06:00
1691947200,121385,23.964,2023-08-13 11:20:00-06:00
1691946600,121385,17.439,2023-08-13 11:10:00-06:00
1691946000,121385,16.272,2023-08-13 11:00:00-06:00
1691945400,121385,17.177,2023-08-13 10:50:00-06:00
1691944800,121385,16.525,2023-08-13 10:40:00-06:00
1691944200,121385,16.774,2023-08-13 10:30:00-06:00
1691943600,121385,15.493,2023-08-13 10:20:00-06:00
1691943000,121385,12.99,2023-08-13 10:10:00-06:00
1691942400,121385,11.294,2023-08-13 10:00:00-06:00
1691941800,121385,11.337,2023-08-13 09:50:00-06:00
1691941200,121385,11.215,2023-08-13 09:40:00-06:00
1691940600,121385,11.908,2023-08-13 09:30:00-06:00
1691940000,121385,13.418,2023-08-13 09:20:00-06:00
1691939400,121385,11.515999999999998,2023-08-13 09:10:00-06:00
1691938800,121385,11.971,2023-08-13 09:00:00-06:00
1691938200,121385,9.075,2023-08-13 08:50:00-06:00
1691937600,121385,9.16,2023-08-13 08:40:00-06:00
1691937000,121385,8.604,2023-08-13 08:30:00-06:00
1691936400,121385,8.264,2023-08-13 08:20:00-06:00
1691935800,121385,7.949,2023-08-13 08:10:00-06:00
1691935200,121385,7.607,2023-08-13 08:00:00-06:00
1691934600,121385,7.211,2023-08-13 07:50:00-06:00
1691934000,121385,6.758,2023-08-13 07:40:00-06:00
1691933400,121385,5.898,2023-08-13 07:30:00-06:00
1691932800,121385,5.183,2023-08-13 07:20:00-06:00
1691932200,121385,5.704000000000001,2023-08-13 07:10:00-06:00
1691931600,121385,4.291,2023-08-13 07:00:00-06:00
1691931000,121385,3.913,2023-08-13 06:50:00-06:00
1691930400,121385,4.699,2023-08-13 06:40:00-06:00
1691929800,121385,4.29,2023-08-13 06:30:00-06:00
1691929200,121385,3.617,2023-08-13 06:20:00-06:00
1691928600,121385,3.607,2023-08-13 06:10:00-06:00
1691928000,121385,2.981,2023-08-13 06:00:00-06:00
1691927400,121385,3.062,2023-08-13 05:50:00-06:00
1691926800,121385,2.793,2023-08-13 05:40:00-06:00
1691926200,121385,2.464,2023-08-13 05:30:00-06:00
1691925600,121385,3.403,2023-08-13 05:20:00-06:00
1691925000,121385,3.0700000000000003,2023-08-13 05:10:00-06:00
1691924400,121385,2.431,2023-08-13 05:00:00-06:00
1691923800,121385,2.024,2023-08-13 04:50:00-06:00
1691923200,121385,2.042,2023-08-13 04:40:00-06:00
1691922600,121385,1.499,2023-08-13 04:30:00-06:00
1691922000,121385,1.917,2023-08-13 04:20:00-06:00
1691921400,121385,2.707,2023-08-13 04:10:00-06:00
1691920800,121385,3.044,2023-08-13 04:00:00-06:00
1691920200,121385,2.602,2023-08-13 03:50:00-06:00
1691919600,121385,2.447,2023-08-13 03:40:00-06:00
1691919000,121385,2.395,2023-08-13 03:30:00-06:00
1691918400,121385,2.358,2023-08-13 03:20:00-06:00
1691917800,121385,3.224,2023-08-13 03:10:00-06:00
1691917200,121385,3.386,2023-08-13 03:00:00-06:00
1691916600,121385,4.097,2023-08-13 02:50:00-06:00
1691916000,121385,4.355,2023-08-13 02:40:00-06:00
1691915400,121385,4.67,2023-08-13 02:30:00-06:00
1691914800,121385,4.693,2023-08-13 02:20:00-06:00
1691914200,121385,5.19,2023-08-13 02:10:00-06:00
1691913600,121385,5.101,2023-08-13 02:00:00-06:00
1691913000,121385,5.055,2023-08-13 01:50:00-06:00
1691912400,121385,5.097,2023-08-13 01:40:00-06:00
1691911800,121385,5.1690000000000005,2023-08-13 01:30:00-06:00
1691911200,121385,5.274,2023-08-13 01:20:00-06:00
1691910600,121385,5.097,2023-08-13 01:10:00-06:00
1691910000,121385,5.452,2023-08-13 01:00:00-06:00
1691909400,121385,4.327999999999999,2023-08-13 00:50:00-06:00
1691908800,121385,4.66,2023-08-13 00:40:00-06:00
1691908200,121385,4.525,2023-08-13 00:30:00-06:00
1691907600,121385,4.891,2023-08-13 00:20:00-06:00
1691907000,121385,4.504,2023-08-13 00:10:00-06:00
1691906400,121385,5.014,2023-08-13 00:00:00-06:00
1691905800,121385,4.988,2023-08-12 23:50:00-06:00
1691905200,121385,5.017,2023-08-12 23:40:00-06:00
1691904600,121385,5.121,2023-08-12 23:30:00-06:00
1691904000,121385,5.122,2023-08-12 23:20:00-06:00
1691903400,121385,5.131,2023-08-12 23:10:00-06:00
1691902800,121385,5.199999999999999,2023-08-12 23:00:00-06:00
1691902200,121385,4.491,2023-08-12 22:50:00-06:00
1691901600,121385,4.593,2023-08-12 22:40:00-06:00
1691901000,121385,5.529,2023-08-12 22:30:00-06:00
1691900400,121385,5.765,2023-08-12 22:20:00-06:00
1691899800,121385,4.757,2023-08-12 22:10:00-06:00
1691899200,121385,4.974,2023-08-12 22:00:00-06:00
1691898600,121385,5.98,2023-08-12 21:50:00-06:00
1691898000,121385,7.362,2023-08-12 21:40:00-06:00
1691897400,121385,8.434000000000001,2023-08-12 21:30:00-06:00
1691896800,121385,7.468999999999999,2023-08-12 21:20:00-06:00
1691896200,121385,7.418,2023-08-12 21:10:00-06:00
1691895600,121385,6.561999999999999,2023-08-12 21:00:00-06:00
1691895000,121385,6.686,2023-08-12 20:50:00-06:00
1691894400,121385,6.281000000000001,2023-08-12 20:40:00-06:00
1691893800,121385,7.064,2023-08-12 20:30:00-06:00
1691893200,121385,7.218999999999999,2023-08-12 20:20:00-06:00
1691892600,121385,6.212,2023-08-12 20:10:00-06:00
1691892000,121385,5.445,2023-08-12 20:00:00-06:00
1691891400,121385,5.631,2023-08-12 19:50:00-06:00
1691890800,121385,5.379,2023-08-12 19:40:00-06:00
1691890200,121385,5.629,2023-08-12 19:30:00-06:00
1691889600,121385,5.765000000000001,2023-08-12 19:20:00-06:00
1691889000,121385,5.723000000000001,2023-08-12 19:10:00-06:00
1691888400,121385,5.854,2023-08-12 19:00:00-06:00
1691887800,121385,5.845,2023-08-12 18:50:00-06:00
1691887200,121385,5.951,2023-08-12 18:40:00-06:00
1691886600,121385,5.537,2023-08-12 18:30:00-06:00
1691886000,121385,5.386,2023-08-12 18:20:00-06:00
1691885400,121385,5.609,2023-08-12 18:10:00-06:00
1691884800,121385,5.739,2023-08-12 18:00:00-06:00
1691884200,121385,5.328,2023-08-12 17:50:00-06:00
1691883600,121385,5.994,2023-08-12 17:40:00-06:00
1691883000,121385,5.575,2023-08-12 17:30:00-06:00
1691882400,121385,5.352,2023-08-12 17:20:00-06:00
1691881800,121385,5.12,2023-08-12 17:10:00-06:00
1691881200,121385,6.311,2023-08-12 17:00:00-06:00
1691880600,121385,5.806,2023-08-12 16:50:00-06:00
1691880000,121385,6.4,2023-08-12 16:40:00-06:00
1691879400,121385,6.452999999999999,2023-08-12 16:30:00-06:00
1691878800,121385,6.378,2023-08-12 16:20:00-06:00
1691878200,121385,8.778,2023-08-12 16:10:00-06:00
1691877600,121385,9.512,2023-08-12 16:00:00-06:00
1691877000,121385,8.701,2023-08-12 15:50:00-06:00
1691876400,121385,7.534,2023-08-12 15:40:00-06:00
1691875800,121385,7.576,2023-08-12 15:30:00-06:00
1691875200,121385,5.023,2023-08-12 15:20:00-06:00
1691874600,121385,5.014,2023-08-12 15:10:00-06:00
1691874000,121385,6.803,2023-08-12 15:00:00-06:00
1691873400,121385,8.058,2023-08-12 14:50:00-06:00
1691872800,121385,6.048,2023-08-12 14:40:00-06:00
1691872200,121385,6.777,2023-08-12 14:30:00-06:00
1691871600,121385,9.285,2023-08-12 14:20:00-06:00
1691871000,121385,11.241,2023-08-12 14:10:00-06:00
1691870400,121385,9.952000000000002,2023-08-12 14:00:00-06:00
1691869800,121385,8.33,2023-08-12 13:50:00-06:00
1691869200,121385,8.658000000000001,2023-08-12 13:40:00-06:00
1691868600,121385,7.973,2023-08-12 13:30:00-06:00
1691868000,121385,8.07,2023-08-12 13:20:00-06:00
1691867400,121385,8.128,2023-08-12 13:10:00-06:00
1691866800,121385,8.007,2023-08-12 13:00:00-06:00
1691866200,121385,8.581,2023-08-12 12:50:00-06:00
1691865600,121385,9.354,2023-08-12 12:40:00-06:00
1691865000,121385,9.713,2023-08-12 12:30:00-06:00
1691864400,121385,9.271,2023-08-12 12:20:00-06:00
